"type","certified","body","make","model","trim","mileage","price","year","dealer","city","rating","reviews","badge"
"New",0,"SUV","Ford","Explorer","ST",0,57170,2020,"Villa Ford of Orange","Orange",3.8,15,
"New",0,"Coupe","INFINITI","Q60","3.0t PURE",16,42685,2020,"INFINITI of Mission Viejo","Mission Viejo",5,1,
"New",0,"SUV","Ford","Explorer","ST",20,57240,2020,"Villa Ford of Orange","Orange",3.8,15,
"Used",0,"SUV","Ford","Flex","Limited",10223,25701,2016,"Villa Ford of Orange","Orange",3.8,15,"Fair Price"
"Used",0,"Sedan","Genesis","G70","3.3T Advanced",8950,40994,2019,"Allen Cadillac GMC","Laguna Niguel",3.8,271,"Good Deal"
"New",0,"SUV","Cadillac","XT4","Premium Luxury",9,45835,2019,"Allen Cadillac GMC","Laguna Niguel",3.8,271,
"New",0,"SUV","Cadillac","XT4","Premium Luxury",9,45835,2019,"Allen Cadillac GMC","Laguna Niguel",3.8,271,
"New",0,"Sedan","Hyundai","Elantra","Sport",9,24920,2020,"Allen Hyundai of Laguna Niguel","Laguna Niguel",3,858,
"Used",0,"Sedan","Chrysler","200","Limited",24967,9499,2015,"California Motors Direct","Stanton",2.9,177,"Great Deal"
"New",0,"SUV","Hyundai","Kona EV","Ultimate",9,46670,2020,"Allen Hyundai of Laguna Niguel","Laguna Niguel",3,858,
"New",0,"SUV","Honda","HR-V","Sport",6,23640,2020,"Rancho Santa Margarita Honda","Rancho Santa Margarita",2.8,44,
"Used",0,"Sedan","Cadillac","ATS","2.0L Turbo",8052,19099,2017,"OC Auto Exchange","Fullerton",1,116,"Good Deal"
"Used",0,"Sedan","Volkswagen","CC","Sport",68475,6899,2010,"OC Auto Exchange","Fullerton",1,116,"Great Deal"
"New",0,"SUV","Dodge","Durango","R/T",0,42150,2020,"J Star Chrysler Dodge Jeep Ram of Anaheim Hills","Anaheim",4.3,20,
"Used",0,"Sedan","Lexus","IS 200t","Base",31781,19599,2016,"OC Auto Exchange","Fullerton",1,115,"Great Deal"
"Used",0,"Sedan","Lexus","IS 200t","Base",22545,19699,2017,"OC Auto Exchange","Fullerton",1,116,"Great Deal"
"New",0,"Sedan","Dodge","Charger","Scat Pack",5,36006,2020,"J Star Chrysler Dodge Jeep Ram of Anaheim Hills","Anaheim",4.3,20,
"New",0,"SUV","Acura","MDX","3.5L w/Technology Package",5,50525,2020,"Weir Canyon Acura","Anaheim",4.9,537,
"Used",1,"Crew Cab Pickup","Honda","Ridgeline","RTL-T",34595,26492,2017,"Buena Park Honda","Buena Park",3.5,341,"Good Deal"
"New",0,"Sedan","Toyota","Corolla","SE",1,22708,2020,"AutoNation Toyota Buena Park","Buena Park",4.4,496,
"Used",0,"Sedan","Audi","A8","L 3.0T",61320,30500,2017,"Auto Gallery Mitsubishi - Corona","Corona",2.5,142,"Good Deal"
"New",0,"Sedan","Lexus","ES 300h","Luxury",9,45619,2019,"Lexus of Cerritos","Cerritos",4.7,903,
"Used",0,"SUV","Hyundai","Santa Fe Sport","2.4L",52535,15520,2017,"Cardinale Way Hyundai","Corona",1.9,61,"Good Deal"
"New",0,"Crew Cab Pickup","Chevrolet","Silverado 1500","LT Trail Boss",0,48895,2020,"Penske Chevrolet of Cerritos","Cerritos",4.4,95,
"Used",0,"SUV","Chevrolet","Traverse","LT Leather",15655,31444,2019,"Penske Chevrolet of Cerritos","Cerritos",4.4,95,"Good Deal"
"Used",0,"Minivan","Dodge","Grand Caravan","SXT",56392,13500,2017,"M Motorsport","Long Beach",2.7,26,"Great Deal"
"New",0,"SUV","Volkswagen","Atlas Cross Sport","2.0T SE w/Technology",0,37185,2020,"Cardinale Way Volkswagen","Corona",1.4,179,
"New",0,"Sedan","Mazda","Mazda6","Grand Touring Reserve",1,29941,2020,"Cardinale Way Mazda","Corona",0,30,
"New",0,"SUV","Mitsubishi","Outlander","ES",3,19375,2019,"Auto Gallery Mitsubishi - Corona","Corona",2.5,142,
"New",0,"SUV","Lexus","RX 350L","Luxury",36,53934,2019,"Lexus of Cerritos","Cerritos",4.7,903,
"New",0,"SUV","Nissan","Kicks","SR",5,22365,2020,"Larry H Miller Nissan Corona","Corona",4.3,164,
"New",0,"SUV","Nissan","Rogue","SV",5,29555,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","S",5,19255,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","SR",5,24845,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"SUV","Nissan","Kicks","S",5,19255,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Hatchback","MINI","Hardtop","Cooper",3,29090,2020,"Long Beach MINI","Signal Hill",3.5,8,
"New",0,"Hatchback","MINI","Hardtop","Cooper S",7,32910,2020,"Long Beach MINI","Signal Hill",3.5,8,
"Used",0,"SUV","Ford","Edge","Sport",22870,22688,2015,"Cabe Toyota","Long Beach",4,26,"Fair Price"
"Used",0,"Coupe","Subaru","BRZ","Limited",4266,22388,2017,"Cabe Toyota","Long Beach",4,26,"Good Deal"
"Used",0,"SUV","Jeep","Grand Cherokee","Overland",126445,6950,2006,"All In Auto Group","Norco",1.1,22,"Good Deal"
"Used",0,"Coupe","Maserati","GranTurismo","",32700,29999,2008,"Concierge Motors","Corona",3.7,3,"Good Deal"
"New",0,"Hatchback","Mazda","Mazda3","FWD w/Preferred Package",40,25320,2020,"Puente Hills Mazda","City of Industry",5,1,
"Used",0,"Hatchback","BMW","435 Gran Coupe","i",30192,25500,2016,"Puente Hills Mitsubishi","City of Industry",2.7,14,"Good Deal"
"New",0,"SUV","Audi","Q3","2.0T Premium Plus",5,45375,2020,"McKenna Audi","Norwalk",3,36,
"New",0,"Sedan","Audi","A3","2.0T S line Premium",5,39100,2020,"McKenna Audi","Norwalk",3,36,
"Used",0,"Sedan","Genesis","G80","3.8",60616,20995,2017,"Puente Hills Hyundai","City of Industry",4.8,719,"Great Deal"
"New",0,"Hatchback","Hyundai","Ioniq Hybrid","SE",12,26120,2020,"Puente Hills Hyundai","City of Industry",4.8,719,
"Used",1,"Minivan","Honda","Odyssey","LX",31234,23680,2019,"Diamond Honda","City of Industry",2.2,15,"Good Deal"
"Used",0,"Sedan","Nissan","Sentra","SV",42809,11712,2018,"Puente Hills Ford","City of Industry",4.4,196,"Great Deal"
"New",0,"Crew Cab Pickup","Nissan","Frontier","SV",5,25662,2019,"Puente Hills Nissan","City of Industry",4.3,37,
"Used",0,"Coupe","Dodge","Challenger","R/T Plus",69526,15399,2012,"Premium Autos","Norco",1,2,
"Used",0,"Cargo Van","RAM","ProMaster 2500","High Roof",15810,29995,2018,"Norco Truck Center","Norco",1.8,19,"Good Deal"
"New",0,"SUV","Nissan","Rogue Sport","S",5,21934,2020,"Puente Hills Nissan","City of Industry",4.3,37,
"Used",0,"Sedan","Honda","Accord","Sport",62245,14900,2016,"Premium Autos","Norco",1,2,"Good Deal"
"Used",0,"Sedan","Cadillac","ATS","2.0L Turbo Luxury",49785,18900,2018,"Premium Autos","Norco",1,2,"Great Deal"
"New",0,"SUV","Chevrolet","Traverse","LS",2,26884,2020,"Win Chevrolet","Carson",3.6,213,
"Used",0,"Sedan","Hyundai","Sonata","SE",61769,10199,2016,"LA Auto Exchange","Montebello",1.7,47,"Great Deal"
"Used",0,"Sedan","Acura","ILX","2.4L",24478,16499,2016,"LA Auto Exchange #1","West Covina",1.4,21,"Good Deal"
"New",0,"SUV","Toyota","RAV4 Hybrid","XLE",6,32589,2020,"Envision Toyota of West Covina","West Covina",4,1,
"Used",0,"Sedan","Hyundai","Elantra","SE",51247,10499,2017,"LA Auto Exchange #1","West Covina",1.4,21,"Great Deal"
"Used",0,"Sedan","Nissan","Sentra","SV",26653,10699,2016,"Montclair Auto Exchange","Montclair",0,0,"Great Deal"
"Used",0,"Hatchback","FIAT","500e","Battery Electric",29186,7199,2016,"Montclair Auto Exchange","Montclair",0,0,"Great Deal"
"Used",0,"SUV","Mercedes-Benz","GLC 350e","Base 4MATIC",10971,36000,2019,"Vista Motors","Ontario",1.5,44,"Great Deal"
"Used",0,"Coupe","Mercedes-Benz",,"C 300",27702,35995,2018,"South Bay Pre-Owned","Lomita",4,30,"Fair Price"
"Used",0,"Sedan","Maserati","Ghibli","S Q4",40437,24199,2014,"Montclair Auto Exchange","Montclair",0,0,"Good Deal"
"Used",0,"SUV","Toyota","Highlander","XLE",23306,26332,2016,"STG Auto Group","Ontario",4.5,347,"Good Deal"
"Used",0,"Coupe","Hyundai","Genesis Coupe","3.8 R-Spec",58541,16777,2014,"Cars Direct","Ontario",0,0,"Good Deal"
"Used",0,"Sedan","Toyota","Camry","SE",22512,19888,2018,"DCH Toyota of Torrance","Torrance",3.9,388,"Good Deal"
"New",0,"SUV","Ford","Edge","Titanium",4,39125,2020,"AutoNation Ford Torrance","Torrance",4.4,411,
"New",0,"Sedan","Nissan","Sentra","S",5,19748,2020,"Ross Nissan","El Monte",2.5,41,
"New",0,"SUV","Toyota","C-HR","LE",2,22037,2020,"DCH Toyota of Torrance","Torrance",3.9,388,
"New",0,"SUV","Ford","Escape","SE Sport Hybrid",5,27960,2020,"AutoNation Ford Torrance","Torrance",4.4,411,
"Used",0,"Sedan","Chevrolet","Impala Limited","LT",92776,9395,2016,"Herrera Auto Sales","Los Angeles",4.2,15,
"New",0,"SUV","Jaguar","I-PACE","S",40,71782,2020,"Jaguar Land Rover South Bay","Torrance",4.6,184,
"Used",0,"SUV","Lamborghini","Urus","Base",935,259878,2020,"Eurocar Inc.","Costa Mesa",5,14,"Fair Price"
"New",0,"SUV","Jaguar","I-PACE","EV400 HSE",10,87280,2020,"Jaguar Land Rover Newport Beach","Newport Beach",0,0,
"New",0,"SUV","Cadillac","XT4","Premium Luxury",0,32335,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"Used",0,"Coupe","Lamborghini","Huracan EVO","Coupe",2182,289900,2020,"Newport Beach Automotive Group","Irvine",0,3,"Good Deal"
"New",0,"SUV","Cadillac","XT4","Sport",14,33570,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"Used",0,"SUV","Rolls-Royce","Cullinan","",4951,359900,2019,"Newport Beach Automotive Group","Irvine",0,3,"Good Deal"
"New",0,"SUV","BMW","X6 M","Competition",10,127295,2020,"Crevier BMW","Santa Ana",3.6,310,
"New",0,"SUV","Cadillac","XT4","Premium Luxury",3876,35140,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Buick","Envision","Essence",10,30188,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"Used",0,"Coupe","Acura","NSX","Base",2956,125500,2017,"DCH Tustin Acura","Tustin",4.9,448,"Fair Price"
"New",0,"SUV","Cadillac","XT4","Sport",13,31300,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Nissan","Kicks","S",0,19255,2020,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"SUV","Cadillac","XT4","Sport",0,36735,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"Hatchback","Chevrolet","Spark","LT",4,16230,2020,"Connell Chevrolet","Costa Mesa",5,132,
"New",0,"Sedan","Nissan","Versa","S",0,15015,2020,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"SUV","Nissan","Kicks","S",0,19255,2020,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"SUV","Cadillac","XT4","Sport",23,33570,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Cadillac","XT4","Sport",11,34170,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Cadillac","XT4","Sport",0,38285,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"Used",0,"SUV","Bentley","Bentayga","W12",26752,145850,2017,"Ferrari Maserati of Newport Beach","Newport Beach",5,112,"Great Deal"
"Used",0,"Convertible","Ferrari","Portofino","",8297,219800,2019,"Ferrari Maserati of Newport Beach","Newport Beach",5,112,"Good Deal"
"Used",0,"Sedan","Mercedes-Benz","Maybach S","S 600",23691,85995,2016,"Private Collection Motors","Costa Mesa",4,53,"Great Deal"
"Used",0,"Sedan","Hyundai","Equus","Signature",38618,10999,2014,"California Motors Direct","Santa Ana",1.5,186,
"Used",0,"Sedan","Hyundai","Sonata","Sport 2.0T",12780,16799,2018,"California Motors Direct","Santa Ana",1.5,186,
"Used",0,"SUV","Chevrolet","Equinox","1LT",20113,16199,2019,"California Motors Direct","Santa Ana",1.5,186,
"Used",0,"SUV","Buick","Encore","Base",19824,12599,2016,"California Motors Direct","Santa Ana",1.5,186,
"Used",0,"Passenger Van","Chrysler","Pacifica","Touring-L",72198,16099,2017,"California Motors Direct","Santa Ana",1.5,186,
"New",0,"Hatchback","Toyota","Prius","LE",6,26124,2020,"AutoNation Toyota Irvine","Irvine",4.7,926,
"Used",0,"Sedan","Chevrolet","Malibu Hybrid","",16250,15199,2018,"California Motors Direct","Santa Ana",1.5,186,
"Used",0,"Sedan","Honda","Civic","LX",62962,6499,2013,"California Motors Direct","Santa Ana",1.5,186,
"New",0,"SUV","Dodge","Journey","Crossroad",0,32695,2019,"Tuttle Click Chrysler Jeep Dodge RAM","Irvine",1,21,
"New",0,"Sedan","Nissan","Versa","1.6 SV",14,18637,2020,"Surf City Nissan","Huntington Beach",1,1,
"Used",0,"Coupe","Mazda","RX-8","Sport Automatic",57748,5985,2004,"Cali Auto Experts","Garden Grove",5,14,"Great Deal"
"Used",0,"Sedan","Honda","Civic Hybrid","Base",60430,8995,2012,"Ben Auto Haus","Garden Grove",5,10,
"Used",1,"Sedan","INFINITI","Q70","3.7",49120,24000,2016,"Orange Coast INFINITI","Westminster",4.7,943,
"Used",0,"SUV","Land Rover","Range Rover Velar","P250 Base",28503,38690,2019,"Hertz Car Sales Anaheim","Anaheim",3.4,6,"Great Deal"
"Used",0,"SUV","Audi","Q3","2.0T Premium Plus",32661,16599,2016,"California Motors Direct","Stanton",2.9,177,
"Used",0,"Sedan","Chevrolet","Malibu Hybrid","",59250,13588,2017,"SC Motors II","Placentia",2.2,25,
"Used",0,"Coupe","Alfa Romeo","4C","Base",10142,47800,2018,"J Star Chrysler Dodge Jeep Ram of Anaheim Hills","Anaheim",4.3,20,"Good Deal"
"Used",0,"Hatchback","Honda","Fit","EX-L",44585,6699,2015,"OC Auto Exchange","Fullerton",1,116,
"Used",0,"Coupe","Scion","FR-S","BLUETOOTH&TRACTION CONTROL",73378,10499,2013,"OC Auto Exchange","Fullerton",1,116,"Fair Price"
"New",0,"Sedan","BMW",,"740i",14,93945,2020,"BMW of Buena Park","Buena Park",4.2,389,
"Used",0,"SUV","INFINITI","QX70","Base",43683,20981,2017,"Auto Republic Fullerton","Fullerton",2.8,40,
"Used",0,"Cargo Van","Chevrolet","City Express","1LS",30688,13771,2015,"Auto Republic Fullerton","Fullerton",2.8,40,
"New",0,"Sedan","Nissan","Versa","S",10,15985,2020,"Buena Park Nissan","Buena Park",5,28,
"Used",0,"SUV","GMC","Yukon Hybrid","Denali",91661,19995,2012,"California Car Company","Brea",4,14,"Good Deal"
"Used",0,"SUV","Dodge","Journey","SE",33050,11000,2017,"Premier Chrysler Jeep Dodge Ram Buena Park","Buena Park",4.5,95,
"New",0,"Crew Cab Pickup","RAM","1500","Big Horn",10,43140,2020,"Premier Chrysler Jeep Dodge Ram Buena Park","Buena Park",4.5,95,
"Used",0,"Sedan","Mercury","Grand Marquis","LS",83477,5995,2008,"Metro Auto","La Habra",4.2,45,"Great Deal"
"Used",0,"Hatchback","Kia","Rio","LX",69250,6995,2013,"Metro Auto","La Habra",4.2,45,"Good Deal"
"Used",0,"Sedan","Lexus","IS 300","Base",42374,21890,2016,"Lexus of Cerritos","Cerritos",4.7,903,"Good Deal"
"New",0,"SUV","Chevrolet","Trax","LS",3,19705,2020,"Penske Chevrolet of Cerritos","Cerritos",4.4,95,
"Used",0,"Sedan","Hyundai","Accent","SE",45046,8980,2018,"Auto Gallery Mitsubishi - Corona","Corona",2.5,142,"Great Deal"
"New",0,"Sedan","Nissan","Versa","S",5,16214,2020,"Cerritos Nissan","Cerritos",5,16,
"Used",0,"Sedan","Mercury","Grand Marquis","LS",44515,4500,2001,"Best Auto Sales Inc.","Corona",0,5,
"New",0,"Convertible","MINI","Convertible","Cooper S",10,40250,2020,"Long Beach MINI","Signal Hill",3.5,8,
"Used",0,"Sedan","Ford","Crown Victoria","Police Interceptor",92556,3995,2008,"Best Auto Sales Inc.","Corona",0,5,"Fair Price"
"Used",0,"Passenger Van","GMC","Savana 3500","Extended Wagon",44910,7995,2002,"Best Auto Sales Inc.","Corona",0,5,"Great Deal"
"Used",0,"SUV","Cadillac","SRX","Performance Collection",60409,11998,2014,"Best Buy Quality Cars","Bellflower",3,12,
"Used",0,"Sedan","Buick","Lucerne","CX",36061,5950,2009,"Shift Los Angeles","Whittier",2.3,32,"Good Deal"
"New",0,"Hatchback","Porsche","Panamera e-Hybrid","Turbo S",5,179988,2019,"McKenna Porsche","Norwalk",0,43,
"Used",0,"SUV","Buick","Encore","Sport Touring",32769,11799,2016,"Corona Motors Direct","Norco",1.6,12,
"New",0,"Crew Cab Pickup","Jeep","Gladiator","Sport",12,36998,2020,"Champion Chrysler Jeep Dodge RAM","Downey",3.3,101,
"Used",0,"Hatchback","Chevrolet","Volt","LT",44950,12799,2016,"Corona Motors Direct","Norco",1.6,12,
"New",0,"Hatchback","Chevrolet","Spark","LS",3,12977,2020,"Chevrolet of Puente Hills","City of Industry",0,0,
"Used",0,"Coupe","Dodge","Challenger","R/T",25538,22099,2016,"Corona Motors Direct","Norco",1.6,12,
"Used",0,"Cargo Van","RAM","ProMaster 2500","High Roof",35428,22100,2019,"Premium Autos","Norco",1,2,
"New",0,"Sedan","Chevrolet","Malibu","RS",2,20006,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"Sedan","Chevrolet","Malibu","RS",2,20374,2020,"Win Chevrolet","Carson",3.6,213,
"Used",0,"Sedan","Acura","TLX","V6 A-Spec",32521,26599,2018,"California Motor Trade","Downey",2.5,11,
"Used",0,"SUV","Land Rover","Discovery Sport","HSE",32620,21999,2017,"Ournextcar, LLC","Downey",3,21,
"New",0,"Hatchback","Chevrolet","Spark","LS",10,14195,2020,"MK Smith Chevrolet","Chino",4.1,263,
"Used",0,"Sedan","Nissan","Altima","2.5 SV",43906,10499,2017,"California Motor Trade","Downey",2.5,11,
"Used",0,"Minivan","Volkswagen","Eurovan","MV",229000,12888,2001,"Affordable Auto Solutions","Wilmington",1,3,"Fair Price"
"Used",0,"Coupe","BMW","128","i",35710,10999,2013,"Ournextcar, LLC","Downey",3,21,
"New",0,"SUV","Chevrolet","Trax","LT",10,19955,2019,"MK Smith Chevrolet","Chino",4.1,263,
"Used",0,"Wagon","Honda","Crosstour","EX-L",49074,14099,2015,"LA Auto Exchange","Montebello",1.7,47,
"Used",0,"SUV","Dodge","Journey","Crossroad",79765,11199,2015,"LA Auto Exchange","Montebello",1.7,47,
"Used",0,"Sedan","Lincoln","MKZ Hybrid","Reserve",16444,17099,2017,"LA Auto Exchange","Montebello",1.7,47,
"Used",0,"SUV","Dodge","Journey","SXT",63871,9699,2014,"LA Auto Exchange","Montebello",1.7,47,"Great Deal"
"Used",0,"Minivan","Honda","Odyssey","EX",48102,17899,2016,"LA Auto Exchange #1","West Covina",1.4,21,
"Used",0,"Minivan","Honda","Odyssey","SE",35140,20599,2016,"LA Auto Exchange #1","West Covina",1.4,21,
"Used",0,"Sedan","Hyundai","Equus","Signature",46258,15499,2014,"California Motors Direct - Montclair","Montclair",1.6,36,
"Used",0,"SUV","Buick","Enclave","Essence",19229,25499,2019,"California Motors Direct - Montclair","Montclair",1.6,36,
"Used",0,"Regular Cab Pickup","Chevrolet","SSR","LS",56152,16199,2003,"Montclair Auto Exchange","Montclair",0,0,"Great Deal"
"Used",0,"SUV","Cadillac","SRX","Luxury Collection",51942,17099,2016,"Montclair Auto Exchange","Montclair",0,0,
"Used",0,"Sedan","Pontiac","G8","GXP",23200,28499,2009,"California Motors Direct - Montclair","Montclair",1.6,36,"Good Deal"
"Used",0,"Extended Cab Pickup","Chevrolet","S-10","LS Extended Cab",138350,5995,2000,"Empire Motors","Montclair",4.2,43,
"Used",0,"Wagon","Audi","A4 allroad","2.0T Tech Premium",5100,29900,2018,"SV Automotive","Ontario",4.4,16,
"Used",0,"SUV","Nissan","Pathfinder","SL",7702,21699,2019,"Montclair Auto Exchange","Montclair",0,0,
"Used",0,"SUV","GMC","Yukon","Denali",69580,30499,2015,"Montclair Auto Exchange","Montclair",0,0,
"New",0,"Convertible","Mercedes-Benz","AMG SLC 43","Base",5,73985,2020,"Mercedes-Benz of South Bay","Torrance",4.6,721,
"Used",0,"Coupe","Mazda","RX-8","Base",76170,4988,2004,"Xtreme Automotive Sales Inc","South El Monte",0,0,"Fair Price"
"New",0,"SUV","Ford","EcoSport","S",15,18830,2020,"AutoNation Ford Torrance","Torrance",4.4,411,
"Used",0,"Sedan","Nissan","Altima","2.5 SV",52301,9500,2017,"Blok Charity Auto Clearance","Gardena",5,32,
"New",0,"Sedan","Nissan","Versa","S",0,16045,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"Used",0,"Sedan","Lincoln","Town Car","Signature Limited",134761,3900,2005,"Blok Charity Auto Clearance","Gardena",5,32,"Great Deal"
"Used",0,"Minivan","Chrysler","Town & Country","Touring",62924,12999,2016,"Billion Auto Group","South Gate",0,1,"Great Deal"
"New",0,"Sedan","Cadillac","CT5","Premium Luxury AWD",0,51608,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Cadillac","XT4","Sport",15,32615,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Cadillac","XT4","Sport",19,33800,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Buick","Envision","Preferred",0,30440,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Cadillac","XT4","Sport",3519,33171,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"Sedan","Cadillac","CT6-V","4.2L Blackwing Twin Turbo",0,87690,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Cadillac","XT4","Premium Luxury",24,36080,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Cadillac","XT4","Sport",27,32300,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","Cadillac","XT4","Premium Luxury",3152,32655,2019,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"Used",0,"Sedan","Rolls-Royce","Phantom VI","Base",22951,89800,2005,"Klasse Auto","Costa Mesa",5,7,"Fair Price"
"Used",0,"SUV","Buick","Enclave","Leather",82995,15299,2017,"California Motors Direct","Santa Ana",1.5,186,
"New",0,"Sedan","Toyota","Corolla Hybrid","LE",6,24183,2020,"AutoNation Toyota Irvine","Irvine",4.7,926,
"Used",0,"Sedan","Hyundai","Sonata","SEL",24934,13999,2018,"California Motors Direct","Santa Ana",1.5,186,"Good Deal"
"Used",0,"Sedan","Dodge","Dart","SXT",44996,8199,2016,"California Motors Direct","Santa Ana",1.5,186,"Great Deal"
"Used",0,"Coupe","Mazda","RX-8","Touring",44857,10998,2008,"Sunset car co","Santa Ana",4.3,43,"Good Deal"
"Used",0,"Crew Cab Pickup","Ford","Explorer Sport Trac","Limited",117020,11990,2010,"Sterling Imports LTD","Santa Ana",1,77,"Good Deal"
"New",0,"Sedan","Nissan","Versa","1.6 SR",12,17491,2020,"Surf City Nissan","Huntington Beach",1,1,
"New",0,"Sedan","Nissan","Versa","1.6 SV",15,16908,2020,"Surf City Nissan","Huntington Beach",1,1,
"New",0,"Sedan","Nissan","Versa","1.6 SV",11,16707,2020,"Surf City Nissan","Huntington Beach",1,1,
"New",0,"Sedan","Nissan","Versa","1.6 SV",10,16558,2020,"Surf City Nissan","Huntington Beach",1,1,
"New",0,"Sedan","Nissan","Versa","1.6 SV",4,16558,2020,"Surf City Nissan","Huntington Beach",1,1,
