"age","job","marital","education","default","balance","housing","loan","contact","campaign","durmin","previous","poutcome","pweek","subscribe"
53,"blue-collar","married","secondary","no",2231,"yes","no","cellular",3,4.53333333333333,0,"unknown",0,0
48,"admin.","married","secondary","no",3064,"yes","no","telephone",2,2.65,0,"unknown",0,0
57,"management","married","secondary","no",82,"no","yes","telephone",1,2.33333333333333,0,"unknown",0,0
33,"self-employed","single","tertiary","no",2155,"no","no","cellular",1,4.91666666666667,0,"unknown",0,0
36,"retired","single","secondary","no",101,"yes","yes","unknown",1,5.23333333333333,0,"unknown",0,0
54,"technician","divorced","secondary","no",784,"yes","yes","unknown",1,9.65,0,"unknown",0,0
41,"blue-collar","married","primary","no",-516,"no","yes","telephone",3,9.23333333333333,0,"unknown",0,0
63,"retired","married","secondary","no",415,"yes","no","cellular",1,5.38333333333333,0,"unknown",0,0
48,"management","married","tertiary","no",5887,"no","no","cellular",2,3.78333333333333,0,"unknown",0,0
48,"services","married","secondary","no",1355,"no","no","cellular",2,2.23333333333333,0,"unknown",0,0
56,"admin.","married","secondary","no",16873,"no","no","cellular",1,3.71666666666667,0,"unknown",0,0
51,"blue-collar","divorced","secondary","no",203,"yes","no","cellular",1,2.23333333333333,5,"failure",24.2857142857143,0
31,"services","married","secondary","no",338,"yes","no","cellular",1,2.58333333333333,0,"unknown",0,0
29,"technician","married","secondary","no",444,"yes","no","cellular",4,2.16666666666667,0,"unknown",0,0
41,"management","married","secondary","no",0,"no","yes","cellular",3,10.5,0,"unknown",0,0
32,"technician","single","tertiary","no",360,"no","no","cellular",2,2.73333333333333,0,"unknown",0,0
37,"management","married","tertiary","no",0,"no","no","cellular",2,4.46666666666667,3,"success",26,1
42,"entrepreneur","divorced","tertiary","yes",2,"yes","no","unknown",1,6.33333333333333,0,"unknown",0,0
31,"management","single","tertiary","no",6248,"yes","no","unknown",2,2.56666666666667,0,"unknown",0,0
41,"services","married","tertiary","no",412,"yes","no","unknown",5,2.56666666666667,0,"unknown",0,0
56,"retired","married","secondary","no",344,"yes","no","unknown",1,3.68333333333333,0,"unknown",0,0
54,"management","divorced","tertiary","no",3222,"no","no","cellular",2,1.11666666666667,0,"unknown",0,0
41,"blue-collar","divorced","secondary","no",174,"yes","no","cellular",2,6.11666666666667,1,"other",42.4285714285714,0
40,"technician","single","secondary","no",591,"no","yes","cellular",6,1.45,0,"unknown",0,0
50,"blue-collar","divorced","primary","no",388,"no","no","cellular",1,11.6833333333333,0,"unknown",0,0
40,"unemployed","married","secondary","no",219,"yes","no","cellular",2,3.4,1,"failure",28,0
27,"admin.","divorced","secondary","no",451,"yes","no","cellular",1,10.8666666666667,0,"unknown",0,1
60,"retired","married","primary","no",5,"no","no","cellular",2,1.05,0,"unknown",0,0
28,"admin.","single","secondary","no",177,"yes","yes","cellular",1,2.5,0,"unknown",0,0
52,"services","married","secondary","no",657,"no","no","telephone",2,6.63333333333333,2,"failure",65.7142857142857,1
37,"management","married","tertiary","no",1315,"no","no","cellular",1,3.73333333333333,0,"unknown",0,1
51,"blue-collar","married","primary","no",1466,"yes","no","unknown",2,6.76666666666667,0,"unknown",0,0
41,"technician","single","secondary","no",879,"no","yes","cellular",4,1,0,"unknown",0,0
35,"blue-collar","single","primary","no",293,"yes","no","unknown",2,8.68333333333333,0,"unknown",0,0
38,"admin.","married","secondary","no",424,"yes","no","cellular",1,4.65,0,"unknown",0,0
34,"blue-collar","married","secondary","no",1831,"yes","no","unknown",2,3.38333333333333,0,"unknown",0,0
39,"blue-collar","married","primary","no",111,"no","no","cellular",2,3.35,0,"unknown",0,0
34,"blue-collar","married","primary","no",455,"yes","no","unknown",3,6.2,0,"unknown",0,0
27,"services","single","secondary","no",-195,"yes","no","cellular",1,6.51666666666667,0,"unknown",0,1
32,"management","single","tertiary","no",3616,"no","no","cellular",2,2.75,0,"unknown",0,0
57,"blue-collar","married","secondary","no",14093,"no","no","cellular",5,3.85,0,"unknown",0,0
41,"unknown","single","tertiary","no",1567,"no","no","cellular",2,4.85,0,"unknown",0,0
41,"admin.","married","tertiary","no",5426,"yes","no","unknown",2,2.48333333333333,0,"unknown",0,0
30,"admin.","single","tertiary","no",261,"no","no","cellular",1,3.88333333333333,20,"failure",19.5714285714286,0
36,"blue-collar","divorced","secondary","no",2843,"no","no","cellular",1,7.88333333333333,1,"success",26,0
31,"unemployed","single","primary","no",406,"no","no","cellular",1,12.2666666666667,0,"unknown",0,1
36,"blue-collar","married","secondary","no",0,"yes","no","unknown",1,5.61666666666667,0,"unknown",0,0
38,"management","single","tertiary","no",493,"yes","no","cellular",1,9.21666666666667,7,"failure",52.4285714285714,0
49,"technician","married","secondary","no",5996,"no","no","telephone",2,5.75,0,"unknown",0,0
57,"services","single","primary","no",3777,"yes","no","telephone",2,1.08333333333333,0,"unknown",0,0
34,"management","single","secondary","no",524,"no","no","unknown",1,0.15,0,"unknown",0,0
32,"management","single","tertiary","no",574,"yes","no","cellular",2,4.31666666666667,3,"failure",20.7142857142857,0
37,"blue-collar","married","secondary","no",427,"yes","yes","unknown",3,6.18333333333333,0,"unknown",0,0
33,"self-employed","married","tertiary","no",483,"yes","no","cellular",2,4.66666666666667,0,"unknown",0,0
56,"unemployed","married","primary","no",3391,"no","no","cellular",1,4.05,0,"unknown",0,1
27,"housemaid","married","primary","no",0,"yes","no","cellular",3,7.25,0,"unknown",0,0
21,"student","single","secondary","no",2488,"no","no","cellular",6,4.3,3,"success",24.1428571428571,1
58,"management","married","tertiary","no",1517,"yes","no","telephone",5,0.116666666666667,0,"unknown",0,0
32,"self-employed","married","secondary","no",217,"yes","yes","cellular",5,5.28333333333333,0,"unknown",0,0
33,"blue-collar","single","secondary","no",22,"no","no","cellular",2,1.26666666666667,1,"failure",29.5714285714286,0
25,"student","single","secondary","no",331,"no","no","telephone",4,2.83333333333333,0,"unknown",0,1
25,"technician","single","secondary","no",505,"no","yes","cellular",2,6.43333333333333,0,"unknown",0,1
30,"services","married","secondary","no",1808,"yes","no","cellular",2,1.38333333333333,0,"unknown",0,0
22,"admin.","single","secondary","no",4111,"no","yes","cellular",1,1.08333333333333,0,"unknown",0,0
39,"blue-collar","married","primary","no",52,"no","no","cellular",1,1.15,0,"unknown",0,0
46,"management","divorced","tertiary","no",25,"no","no","unknown",2,9.4,0,"unknown",0,0
31,"admin.","divorced","secondary","no",1890,"yes","no","cellular",1,9.8,0,"unknown",0,0
45,"blue-collar","married","primary","no",419,"no","no","cellular",4,1.88333333333333,0,"unknown",0,0
32,"technician","married","secondary","no",2693,"yes","no","unknown",1,0.266666666666667,0,"unknown",0,0
36,"blue-collar","married","secondary","no",-231,"no","yes","cellular",2,12.9833333333333,0,"unknown",0,0
51,"management","single","tertiary","yes",-55,"yes","no","cellular",2,4.68333333333333,6,"failure",38,0
34,"self-employed","single","tertiary","no",462,"no","no","cellular",3,31.2833333333333,0,"unknown",0,1
24,"unemployed","single","secondary","no",119,"no","no","unknown",1,0.85,0,"unknown",0,0
45,"technician","single","secondary","no",586,"no","yes","cellular",3,0.533333333333333,0,"unknown",0,0
32,"blue-collar","single","secondary","no",228,"no","no","telephone",1,2.93333333333333,3,"failure",41.1428571428571,0
77,"retired","divorced","tertiary","no",4659,"no","no","cellular",1,2.68333333333333,0,"unknown",0,1
41,"blue-collar","married","primary","no",168,"yes","no","cellular",3,3.11666666666667,0,"unknown",0,0
37,"blue-collar","married","primary","no",0,"yes","no","unknown",1,0.4,0,"unknown",0,0
43,"blue-collar","married","unknown","yes",-715,"yes","no","unknown",3,1.11666666666667,0,"unknown",0,0
48,"admin.","married","unknown","no",0,"yes","no","cellular",1,1.41666666666667,2,"failure",24,0
27,"technician","single","secondary","no",769,"yes","no","unknown",2,5.28333333333333,0,"unknown",0,0
33,"management","single","tertiary","no",0,"no","no","cellular",10,3.93333333333333,0,"unknown",0,0
29,"admin.","single","secondary","no",428,"yes","yes","cellular",1,0.9,2,"failure",49.2857142857143,0
34,"management","single","tertiary","no",0,"no","no","cellular",1,1.18333333333333,0,"unknown",0,0
52,"management","married","tertiary","no",-970,"yes","no","cellular",1,8.15,0,"unknown",0,1
60,"management","married","unknown","no",6313,"no","no","unknown",2,0.65,0,"unknown",0,0
32,"management","divorced","tertiary","no",948,"no","no","cellular",2,3.4,0,"unknown",0,0
32,"management","single","tertiary","no",0,"yes","no","cellular",2,7.58333333333333,0,"unknown",0,0
56,"services","divorced","unknown","no",1877,"yes","no","unknown",1,1.43333333333333,0,"unknown",0,0
31,"management","single","tertiary","no",874,"yes","no","cellular",2,3.16666666666667,0,"unknown",0,0
42,"admin.","married","secondary","no",323,"yes","yes","unknown",2,4.66666666666667,0,"unknown",0,0
35,"management","married","tertiary","no",106,"no","yes","cellular",2,9.8,0,"unknown",0,0
56,"retired","married","primary","no",1906,"no","yes","unknown",9,0.75,0,"unknown",0,0
48,"technician","married","secondary","no",1152,"yes","no","cellular",5,2.8,0,"unknown",0,0
46,"admin.","married","secondary","no",179,"yes","no","cellular",4,3.23333333333333,1,"other",62.2857142857143,0
37,"technician","single","unknown","no",391,"yes","no","unknown",3,1.71666666666667,0,"unknown",0,0
41,"entrepreneur","married","unknown","no",89,"yes","no","unknown",2,5.55,0,"unknown",0,0
36,"management","single","tertiary","no",442,"yes","yes","cellular",3,1.7,0,"unknown",0,0
45,"unemployed","divorced","primary","yes",-249,"yes","yes","unknown",1,1.53333333333333,0,"unknown",0,0
55,"entrepreneur","married","secondary","no",8104,"no","no","cellular",2,3.55,0,"unknown",0,0
39,"technician","married","secondary","no",501,"no","no","unknown",1,4.81666666666667,0,"unknown",0,0
35,"technician","divorced","secondary","no",308,"no","no","cellular",2,1.28333333333333,0,"unknown",0,0
55,"admin.","married","secondary","no",602,"no","no","cellular",3,5.4,2,"success",12.8571428571429,1
55,"technician","married","secondary","no",273,"yes","no","cellular",3,1.4,3,"failure",26.1428571428571,0
27,"self-employed","single","secondary","no",50,"no","no","cellular",1,2.8,0,"unknown",0,0
34,"technician","married","secondary","no",1641,"yes","no","cellular",1,6.33333333333333,0,"unknown",0,0
34,"blue-collar","married","tertiary","no",20,"no","no","unknown",1,0.166666666666667,0,"unknown",0,0
25,"admin.","single","secondary","no",4590,"yes","no","unknown",2,3.31666666666667,0,"unknown",0,0
41,"admin.","single","secondary","no",-256,"no","yes","unknown",3,0.583333333333333,0,"unknown",0,0
43,"services","married","secondary","no",978,"yes","yes","unknown",2,1.36666666666667,0,"unknown",0,0
28,"management","single","tertiary","no",80,"no","no","cellular",2,11.2666666666667,2,"failure",20.8571428571429,1
31,"admin.","single","secondary","no",2104,"yes","no","unknown",1,7.58333333333333,0,"unknown",0,0
78,"housemaid","married","secondary","no",499,"no","no","telephone",4,1.33333333333333,0,"unknown",0,0
45,"blue-collar","divorced","secondary","no",1269,"yes","no","cellular",2,9.15,0,"unknown",0,0
48,"technician","married","tertiary","no",310,"no","no","unknown",1,2.25,0,"unknown",0,0
32,"blue-collar","single","secondary","no",1143,"yes","yes","cellular",1,6.86666666666667,0,"unknown",0,0
42,"technician","married","secondary","no",2980,"no","no","unknown",3,1.68333333333333,0,"unknown",0,0
37,"management","single","tertiary","no",37,"no","no","cellular",2,4.21666666666667,0,"unknown",0,0
40,"admin.","single","secondary","no",462,"yes","yes","cellular",1,4.53333333333333,4,"other",47.8571428571429,0
32,"admin.","married","secondary","no",1031,"yes","no","cellular",1,1.4,0,"unknown",0,0
42,"management","married","tertiary","no",9009,"no","no","cellular",2,2.25,0,"unknown",0,0
43,"admin.","married","secondary","no",-465,"yes","yes","cellular",1,2.76666666666667,0,"unknown",0,0
44,"admin.","married","secondary","no",5181,"yes","yes","cellular",7,0.3,0,"unknown",0,0
37,"admin.","married","secondary","no",176,"yes","no","cellular",2,2.45,1,"failure",49.5714285714286,0
37,"unknown","married","unknown","no",1699,"no","no","unknown",1,1.05,0,"unknown",0,0
37,"admin.","married","tertiary","no",0,"yes","no","cellular",2,1.08333333333333,1,"failure",17,0
28,"technician","single","tertiary","no",172,"yes","yes","cellular",2,3.23333333333333,0,"unknown",0,0
32,"services","single","secondary","no",0,"no","yes","cellular",2,5.55,0,"unknown",0,0
34,"admin.","single","secondary","no",6979,"yes","no","cellular",5,0.233333333333333,0,"unknown",0,0
40,"admin.","divorced","secondary","no",6,"no","no","unknown",1,2.33333333333333,0,"unknown",0,0
34,"services","married","secondary","no",-62,"yes","no","unknown",3,1.81666666666667,0,"unknown",0,0
34,"self-employed","married","tertiary","no",1972,"yes","no","cellular",2,1.01666666666667,0,"unknown",0,0
34,"admin.","married","tertiary","no",899,"yes","no","telephone",3,6.28333333333333,4,"success",1,0
37,"services","single","secondary","no",21,"yes","no","cellular",1,1.6,2,"other",38.7142857142857,0
36,"technician","married","secondary","no",23,"yes","no","cellular",2,2.53333333333333,1,"failure",49.5714285714286,0
56,"retired","married","secondary","no",-1206,"yes","no","cellular",2,6.36666666666667,0,"unknown",0,1
49,"blue-collar","married","primary","no",0,"yes","yes","telephone",6,1.61666666666667,0,"unknown",0,0
33,"self-employed","married","secondary","no",215,"yes","no","cellular",12,9.05,0,"unknown",0,0
30,"management","single","tertiary","no",1372,"no","no","cellular",2,4,0,"unknown",0,0
36,"services","married","secondary","no",1981,"no","no","unknown",2,0.8,0,"unknown",0,0
23,"student","single","secondary","no",9216,"no","no","cellular",2,7.85,0,"unknown",0,0
57,"retired","divorced","secondary","no",39,"yes","no","cellular",3,5.9,0,"unknown",0,0
27,"blue-collar","single","secondary","no",5563,"yes","no","unknown",2,7.25,0,"unknown",0,0
38,"services","married","secondary","no",1,"no","yes","cellular",2,2.53333333333333,0,"unknown",0,0
42,"technician","married","tertiary","no",782,"no","no","cellular",1,4.75,0,"unknown",0,0
75,"retired","married","secondary","no",3771,"no","no","telephone",1,3.08333333333333,2,"success",25.8571428571429,1
34,"technician","single","tertiary","no",992,"yes","no","cellular",1,5.01666666666667,2,"success",12.5714285714286,0
48,"technician","married","secondary","no",1526,"no","no","cellular",2,4.55,0,"unknown",0,0
35,"technician","single","tertiary","no",2658,"yes","no","cellular",2,12.8,3,"failure",20.1428571428571,1
39,"management","divorced","tertiary","no",1315,"yes","no","cellular",4,22.2833333333333,1,"failure",18,0
29,"blue-collar","single","tertiary","no",455,"no","no","telephone",1,6.71666666666667,0,"unknown",0,1
45,"technician","single","tertiary","no",0,"yes","no","cellular",2,2.31666666666667,0,"unknown",0,0
42,"technician","married","secondary","no",2030,"yes","yes","cellular",1,3.26666666666667,0,"unknown",0,0
29,"technician","married","secondary","no",1599,"yes","no","cellular",1,1.91666666666667,1,"failure",8.71428571428571,0
38,"services","single","secondary","no",-196,"yes","no","cellular",1,1,1,"failure",38.7142857142857,0
56,"retired","married","secondary","no",1333,"no","no","cellular",14,0.283333333333333,0,"unknown",0,0
36,"technician","single","secondary","no",9149,"yes","no","cellular",3,2.35,0,"unknown",0,0
25,"blue-collar","single","secondary","no",-350,"yes","no","unknown",3,1.58333333333333,0,"unknown",0,0
38,"technician","married","tertiary","no",432,"yes","no","cellular",2,0.166666666666667,1,"other",53.2857142857143,0
57,"self-employed","married","secondary","no",11494,"no","no","cellular",1,3.3,0,"unknown",0,0
31,"management","married","tertiary","yes",-253,"no","no","cellular",4,3.66666666666667,0,"unknown",0,0
42,"management","married","tertiary","no",372,"yes","no","cellular",2,10.9,0,"unknown",0,1
45,"technician","married","secondary","no",1410,"no","no","cellular",2,1.18333333333333,0,"unknown",0,0
30,"blue-collar","married","secondary","no",975,"yes","no","cellular",2,4.26666666666667,2,"failure",50.1428571428571,0
49,"blue-collar","married","primary","no",305,"yes","yes","telephone",10,13.9,0,"unknown",0,0
49,"services","married","secondary","no",400,"no","no","cellular",3,2.51666666666667,0,"unknown",0,0
53,"retired","married","tertiary","no",-22,"yes","no","cellular",3,0.333333333333333,0,"unknown",0,0
37,"technician","married","secondary","no",4030,"yes","no","unknown",5,2.96666666666667,0,"unknown",0,0
49,"blue-collar","married","primary","no",365,"no","no","unknown",2,0.983333333333333,0,"unknown",0,0
41,"self-employed","married","primary","no",204,"no","no","cellular",7,1.85,0,"unknown",0,0
54,"management","married","primary","no",1691,"yes","no","cellular",1,3.1,0,"unknown",0,0
32,"services","single","secondary","no",406,"yes","no","unknown",1,3.78333333333333,0,"unknown",0,0
33,"technician","married","secondary","no",-204,"no","no","cellular",3,4.95,0,"unknown",0,0
33,"technician","married","secondary","no",359,"yes","no","cellular",1,3.5,1,"other",34.5714285714286,0
36,"blue-collar","married","primary","no",123,"yes","no","cellular",1,0.15,0,"unknown",0,0
35,"technician","married","tertiary","no",0,"yes","yes","cellular",1,1.86666666666667,6,"other",8.85714285714286,0
52,"unknown","married","secondary","no",142,"no","no","cellular",6,1.86666666666667,0,"unknown",0,0
40,"entrepreneur","married","tertiary","no",3571,"no","no","unknown",3,3.7,0,"unknown",0,0
44,"technician","single","secondary","no",33,"yes","no","cellular",3,3.25,10,"failure",50.1428571428571,0
45,"blue-collar","single","secondary","no",0,"yes","no","cellular",2,12.8,5,"success",13,0
30,"student","single","secondary","no",3096,"no","no","cellular",1,2.05,0,"unknown",0,0
48,"technician","divorced","secondary","yes",20,"no","no","cellular",3,2.41666666666667,0,"unknown",0,0
33,"blue-collar","married","secondary","no",3576,"yes","no","cellular",1,2.06666666666667,2,"other",44,0
57,"technician","married","unknown","no",206,"yes","no","unknown",3,3.6,0,"unknown",0,0
57,"housemaid","married","primary","no",7082,"no","no","unknown",3,1.15,0,"unknown",0,0
51,"unemployed","married","tertiary","no",1634,"yes","no","cellular",4,2.8,0,"unknown",0,0
34,"admin.","single","secondary","no",1,"yes","no","cellular",7,8.05,0,"unknown",0,0
50,"self-employed","married","tertiary","no",4012,"no","no","cellular",3,11.5,0,"unknown",0,0
44,"management","married","tertiary","no",3762,"no","no","cellular",12,2.08333333333333,0,"unknown",0,0
27,"admin.","married","secondary","no",-247,"yes","yes","unknown",2,5.73333333333333,0,"unknown",0,0
50,"blue-collar","married","secondary","no",606,"yes","no","unknown",2,11.2166666666667,0,"unknown",0,0
36,"management","married","tertiary","no",0,"yes","no","cellular",1,1,1,"other",35.7142857142857,0
42,"management","married","secondary","no",-189,"yes","no","unknown",2,4.11666666666667,0,"unknown",0,0
32,"unemployed","single","secondary","no",0,"no","no","cellular",2,2.05,0,"unknown",0,0
42,"management","married","tertiary","no",484,"yes","no","cellular",2,2.4,0,"unknown",0,0
43,"technician","married","secondary","no",0,"no","yes","cellular",2,0.15,5,"failure",24.5714285714286,0
31,"management","married","tertiary","no",395,"yes","no","cellular",3,2.58333333333333,0,"unknown",0,0
32,"management","married","tertiary","no",2349,"no","no","cellular",5,2.23333333333333,0,"unknown",0,0
55,"blue-collar","divorced","primary","no",410,"no","yes","cellular",2,3.68333333333333,0,"unknown",0,0
58,"retired","married","primary","no",3401,"yes","no","cellular",3,1.4,2,"failure",37.8571428571429,0
46,"blue-collar","married","primary","no",222,"no","no","cellular",2,1.18333333333333,0,"unknown",0,0
55,"blue-collar","married","secondary","no",989,"yes","yes","unknown",4,4.1,0,"unknown",0,0
34,"management","married","tertiary","no",415,"no","yes","cellular",2,6.01666666666667,0,"unknown",0,0
28,"unemployed","single","secondary","no",16,"no","no","cellular",4,1.98333333333333,0,"unknown",0,0
42,"technician","divorced","tertiary","no",7190,"yes","no","cellular",2,6.25,0,"unknown",0,0
29,"blue-collar","single","secondary","no",482,"no","yes","cellular",3,18.2833333333333,0,"unknown",0,1
54,"housemaid","married","secondary","no",209,"yes","yes","cellular",1,1.61666666666667,0,"unknown",0,0
32,"technician","single","secondary","no",0,"no","no","cellular",2,3.01666666666667,0,"unknown",0,0
39,"technician","single","tertiary","no",5803,"no","no","cellular",3,1.38333333333333,0,"unknown",0,0
53,"entrepreneur","married","tertiary","no",624,"no","yes","cellular",4,3,0,"unknown",0,0
58,"technician","married","tertiary","no",883,"no","no","cellular",1,9.05,2,"failure",11.1428571428571,0
40,"self-employed","married","secondary","no",1516,"yes","yes","unknown",1,6.21666666666667,0,"unknown",0,0
29,"student","single","secondary","no",872,"yes","no","unknown",1,3.83333333333333,0,"unknown",0,0
33,"technician","married","tertiary","no",-988,"yes","yes","cellular",3,1.38333333333333,0,"unknown",0,0
38,"admin.","single","secondary","no",902,"yes","no","telephone",13,0.966666666666667,0,"unknown",0,0
56,"services","divorced","secondary","no",1007,"no","no","cellular",6,1.46666666666667,0,"unknown",0,0
40,"services","married","secondary","no",0,"yes","no","cellular",1,4.95,3,"failure",4,0
24,"blue-collar","single","secondary","no",174,"yes","yes","cellular",1,8.11666666666667,0,"unknown",0,1
46,"management","married","secondary","no",12186,"no","no","unknown",3,0.483333333333333,0,"unknown",0,0
35,"self-employed","married","secondary","no",524,"yes","no","cellular",4,8.06666666666667,0,"unknown",0,0
35,"blue-collar","single","tertiary","no",0,"yes","no","cellular",4,4.36666666666667,0,"unknown",0,0
34,"technician","married","secondary","no",4,"yes","no","unknown",1,10.7333333333333,0,"unknown",0,0
35,"housemaid","married","tertiary","no",11219,"no","no","cellular",2,11.65,1,"failure",11.2857142857143,0
38,"technician","single","tertiary","no",0,"no","no","cellular",2,4.11666666666667,0,"unknown",0,0
50,"blue-collar","married","primary","no",5776,"no","no","cellular",3,0.816666666666667,0,"unknown",0,0
51,"blue-collar","divorced","primary","no",37,"yes","no","cellular",1,5.68333333333333,0,"unknown",0,0
59,"self-employed","married","tertiary","no",593,"no","no","unknown",2,1.06666666666667,0,"unknown",0,0
32,"blue-collar","married","secondary","no",1148,"yes","no","cellular",1,2.01666666666667,0,"unknown",0,0
37,"blue-collar","single","secondary","no",3561,"yes","no","unknown",1,1.63333333333333,0,"unknown",0,0
42,"admin.","divorced","secondary","no",63,"no","no","unknown",6,1.46666666666667,0,"unknown",0,0
40,"student","married","secondary","no",260,"no","no","unknown",6,3.28333333333333,0,"unknown",0,0
28,"technician","single","tertiary","no",2269,"yes","no","unknown",1,5.51666666666667,0,"unknown",0,0
47,"admin.","married","secondary","no",1060,"yes","no","unknown",3,1.38333333333333,0,"unknown",0,0
27,"self-employed","married","secondary","no",-220,"yes","no","unknown",2,2.3,0,"unknown",0,0
41,"management","married","tertiary","no",49,"yes","no","cellular",5,5.2,0,"unknown",0,0
34,"admin.","married","tertiary","no",69,"no","yes","cellular",3,2,6,"success",0.142857142857143,1
50,"blue-collar","married","primary","no",4108,"yes","no","cellular",2,8.76666666666667,0,"unknown",0,1
47,"blue-collar","married","secondary","no",480,"yes","no","unknown",2,3.51666666666667,0,"unknown",0,0
