"Default","duration","amount","installment","age","history","purpose","foreign","rent"
0,6,2108,2,29,"poor","goods/repair","foreign","TRUE"
1,45,3031,4,21,"poor","goods/repair","foreign","TRUE"
1,9,1501,2,34,"terrible","edu","foreign","FALSE"
0,6,1382,1,28,"terrible","goods/repair","foreign","FALSE"
1,12,951,4,27,"poor","goods/repair","foreign","TRUE"
0,24,2760,4,36,"poor","usedcar","foreign","FALSE"
1,18,4297,4,40,"poor","goods/repair","foreign","FALSE"
0,9,936,4,52,"terrible","edu","foreign","FALSE"
0,12,1168,4,27,"poor","newcar","foreign","FALSE"
0,27,5117,3,26,"poor","biz","foreign","FALSE"
1,12,902,4,21,"poor","edu","foreign","TRUE"
0,12,1495,4,38,"terrible","newcar","foreign","FALSE"
0,30,10623,3,38,"terrible","usedcar","foreign","FALSE"
0,12,1935,4,43,"terrible","goods/repair","foreign","FALSE"
0,12,1424,4,26,"terrible","goods/repair","foreign","FALSE"
0,24,6568,2,21,"poor","biz","foreign","FALSE"
0,12,1413,3,55,"poor","usedcar","german","FALSE"
0,9,3074,1,33,"terrible","goods/repair","foreign","FALSE"
0,36,3835,2,45,"poor","goods/repair","foreign","FALSE"
1,27,5293,2,50,"good","biz","foreign","FALSE"
1,30,1908,4,66,"poor","biz","foreign","FALSE"
0,36,3342,4,51,"terrible","goods/repair","foreign","FALSE"
0,6,932,1,39,"terrible","edu","foreign","FALSE"
0,18,3104,3,31,"good","biz","foreign","FALSE"
0,36,3913,2,23,"poor","goods/repair","foreign","FALSE"
0,24,3021,2,24,"poor","goods/repair","foreign","TRUE"
0,10,1364,2,64,"poor","newcar","foreign","FALSE"
0,12,625,4,26,"poor","goods/repair","foreign","FALSE"
0,12,1200,4,23,"poor","edu","foreign","TRUE"
0,12,707,4,30,"poor","goods/repair","foreign","FALSE"
0,24,2978,4,32,"poor","biz","foreign","FALSE"
0,15,4657,3,30,"poor","usedcar","foreign","FALSE"
0,36,2613,4,27,"good","goods/repair","foreign","FALSE"
1,48,10961,1,27,"poor","goods/repair","foreign","FALSE"
1,12,7865,4,53,"poor","goods/repair","foreign","FALSE"
1,9,1478,4,22,"poor","goods/repair","foreign","FALSE"
0,24,3149,4,22,"poor","goods/repair","foreign","FALSE"
1,36,4210,4,26,"poor","goods/repair","foreign","FALSE"
0,9,2507,2,51,"poor","newcar","foreign","FALSE"
0,12,2141,3,35,"poor","goods/repair","foreign","FALSE"
0,18,866,4,25,"poor","goods/repair","foreign","FALSE"
0,4,1544,2,42,"terrible","goods/repair","foreign","FALSE"
1,24,1823,4,30,"poor","goods/repair","foreign","FALSE"
1,6,14555,1,23,"poor","newcar","foreign","FALSE"
1,21,2767,4,61,"poor","biz","foreign","TRUE"
0,12,1291,4,35,"terrible","goods/repair","foreign","FALSE"
0,30,2522,1,39,"poor","goods/repair","foreign","FALSE"
1,24,915,4,29,"poor","newcar","foreign","FALSE"
0,6,1595,3,51,"poor","goods/repair","foreign","FALSE"
1,48,4605,3,24,"good","usedcar","foreign","FALSE"
0,12,1185,3,27,"terrible","biz","foreign","FALSE"
0,12,3447,4,35,"good","edu","foreign","FALSE"
0,24,1258,4,25,"poor","biz","foreign","FALSE"
0,12,717,4,52,"terrible","goods/repair","foreign","FALSE"
0,6,1204,4,35,"good","newcar","german","TRUE"
0,24,1925,2,26,"poor","goods/repair","foreign","FALSE"
1,18,433,3,22,"poor","goods/repair","foreign","TRUE"
0,6,666,3,39,"terrible","newcar","foreign","FALSE"
0,12,2251,1,46,"poor","goods/repair","foreign","FALSE"
1,30,2150,4,24,"poor","newcar","foreign","FALSE"
0,24,4151,2,35,"poor","goods/repair","foreign","FALSE"
0,9,2030,2,24,"poor","goods/repair","foreign","FALSE"
0,60,7418,1,27,"poor","goods/repair","foreign","FALSE"
0,24,2684,4,35,"terrible","goods/repair","foreign","FALSE"
1,12,2149,4,29,"good","goods/repair","foreign","FALSE"
0,15,3812,1,23,"poor","usedcar","foreign","FALSE"
0,11,1154,4,57,"terrible","goods/repair","foreign","FALSE"
0,12,1657,2,27,"poor","goods/repair","foreign","FALSE"
0,24,1603,4,55,"poor","goods/repair","foreign","FALSE"
0,18,5302,2,36,"terrible","newcar","foreign","FALSE"
0,12,2748,2,57,"terrible","edu","foreign","FALSE"
0,10,1231,3,32,"terrible","newcar","german","FALSE"
1,15,802,4,37,"poor","goods/repair","foreign","FALSE"
0,36,6304,4,36,"terrible","biz","foreign","FALSE"
0,24,1533,4,38,"poor","goods/repair","foreign","FALSE"
1,14,8978,1,45,"poor","newcar","german","FALSE"
0,24,999,4,25,"poor","goods/repair","foreign","FALSE"
0,18,2662,4,32,"poor","newcar","german","FALSE"
0,12,1402,3,37,"terrible","goods/repair","foreign","TRUE"
0,48,12169,4,36,"good","newcar","foreign","FALSE"
1,48,3060,4,28,"poor","goods/repair","foreign","FALSE"
1,30,11998,1,34,"poor","goods/repair","foreign","FALSE"
0,9,2697,1,32,"poor","goods/repair","foreign","FALSE"
0,18,2404,2,26,"terrible","goods/repair","foreign","FALSE"
0,12,1262,2,49,"poor","goods/repair","foreign","FALSE"
1,6,4611,1,32,"poor","goods/repair","foreign","FALSE"
0,24,1901,4,29,"poor","goods/repair","foreign","TRUE"
0,15,3368,3,23,"terrible","usedcar","foreign","TRUE"
0,12,1574,4,50,"poor","goods/repair","foreign","FALSE"
0,18,1445,4,49,"good","goods/repair","foreign","FALSE"
0,15,1520,4,63,"terrible","goods/repair","foreign","FALSE"
0,24,3878,4,37,"terrible","newcar","foreign","FALSE"
0,47,10722,1,35,"poor","newcar","foreign","FALSE"
0,48,4788,4,26,"poor","usedcar","foreign","FALSE"
0,48,7582,2,31,"poor","biz","foreign","FALSE"
0,12,1092,4,49,"poor","goods/repair","foreign","FALSE"
1,24,1024,4,48,"poor","goods/repair","foreign","FALSE"
0,12,1076,2,26,"poor","biz","german","FALSE"
1,36,9398,1,28,"poor","usedcar","foreign","TRUE"
0,24,6419,2,44,"terrible","usedcar","foreign","FALSE"
0,42,4796,4,56,"terrible","usedcar","foreign","FALSE"
0,48,7629,4,46,"terrible","biz","foreign","FALSE"
1,48,9960,1,26,"poor","goods/repair","foreign","FALSE"
0,12,4675,1,20,"poor","usedcar","foreign","TRUE"
0,10,1287,4,45,"poor","newcar","german","FALSE"
0,18,2515,3,43,"poor","goods/repair","foreign","FALSE"
0,21,2745,3,32,"terrible","goods/repair","foreign","FALSE"
0,6,672,1,54,"poor","newcar","foreign","FALSE"
1,36,3804,4,42,"good","goods/repair","foreign","FALSE"
1,24,1344,4,37,"terrible","newcar","foreign","FALSE"
0,10,1038,4,49,"terrible","newcar","foreign","FALSE"
1,48,10127,2,44,"terrible","newcar","foreign","FALSE"
0,6,1543,4,33,"poor","goods/repair","foreign","FALSE"
0,30,4811,2,24,"poor","usedcar","foreign","TRUE"
1,12,727,4,33,"poor","goods/repair","foreign","FALSE"
1,8,1237,3,24,"poor","goods/repair","foreign","FALSE"
0,9,276,4,22,"poor","newcar","foreign","TRUE"
0,48,5381,3,40,"poor","biz","foreign","FALSE"
0,24,5511,4,25,"poor","goods/repair","foreign","FALSE"
0,24,3749,2,26,"poor","goods/repair","foreign","FALSE"
1,12,685,2,25,"poor","newcar","foreign","FALSE"
0,4,1494,1,29,"poor","newcar","german","FALSE"
1,36,2746,4,31,"good","goods/repair","foreign","FALSE"
0,12,708,2,38,"poor","goods/repair","foreign","FALSE"
0,24,4351,1,48,"poor","goods/repair","foreign","FALSE"
0,12,701,4,32,"terrible","edu","foreign","FALSE"
0,15,3643,1,27,"poor","goods/repair","foreign","FALSE"
1,30,4249,4,28,"terrible","newcar","foreign","FALSE"
1,24,1938,4,32,"poor","goods/repair","foreign","FALSE"
0,24,2910,2,34,"poor","usedcar","foreign","FALSE"
0,18,2659,4,28,"poor","goods/repair","foreign","FALSE"
0,18,1028,4,36,"terrible","newcar","foreign","FALSE"
0,8,3398,1,39,"terrible","newcar","german","FALSE"
0,12,5801,2,49,"terrible","goods/repair","foreign","TRUE"
0,24,1525,4,34,"poor","newcar","foreign","FALSE"
0,36,4473,4,31,"poor","goods/repair","foreign","FALSE"
0,6,1068,4,28,"poor","goods/repair","foreign","FALSE"
0,24,6615,2,75,"terrible","usedcar","foreign","FALSE"
1,18,1864,4,30,"terrible","edu","foreign","FALSE"
1,60,7408,4,24,"poor","newcar","foreign","FALSE"
1,48,11590,2,24,"terrible","usedcar","foreign","TRUE"
1,24,4110,3,23,"good","goods/repair","foreign","TRUE"
1,6,3384,1,44,"terrible","goods/repair","foreign","TRUE"
0,13,2101,2,23,"poor","goods/repair","foreign","FALSE"
1,15,1275,4,24,"poor","goods/repair","foreign","TRUE"
0,24,4169,4,28,"poor","goods/repair","foreign","FALSE"
0,10,1521,4,31,"poor","goods/repair","foreign","FALSE"
0,24,5743,2,24,"terrible","edu","foreign","FALSE"
0,21,3599,1,26,"poor","goods/repair","foreign","TRUE"
0,18,3213,1,25,"poor","goods/repair","foreign","TRUE"
0,18,4439,1,33,"poor","biz","foreign","FALSE"
0,10,3949,1,37,"poor","newcar","foreign","FALSE"
0,15,1459,4,43,"terrible","goods/repair","foreign","FALSE"
0,13,882,4,23,"terrible","goods/repair","foreign","FALSE"
0,24,3758,1,23,"poor","goods/repair","foreign","TRUE"
0,6,1743,1,34,"poor","biz","foreign","FALSE"
1,9,1136,4,32,"terrible","edu","foreign","FALSE"
0,9,1236,1,23,"poor","goods/repair","foreign","TRUE"
1,9,959,1,29,"poor","goods/repair","german","FALSE"
0,18,3229,2,38,"terrible","usedcar","foreign","FALSE"
1,12,6199,4,28,"good","goods/repair","foreign","TRUE"
0,10,727,4,46,"poor","edu","foreign","FALSE"
1,24,1246,4,23,"poor","newcar","foreign","FALSE"
0,12,2331,1,49,"terrible","goods/repair","foreign","FALSE"
1,36,4463,4,26,"poor","goods/repair","foreign","FALSE"
0,12,776,4,28,"poor","goods/repair","foreign","FALSE"
1,30,2406,4,23,"poor","goods/repair","foreign","TRUE"
0,18,1239,4,61,"poor","edu","foreign","FALSE"
0,12,3399,2,37,"poor","goods/repair","foreign","FALSE"
0,12,2247,2,36,"poor","newcar","foreign","FALSE"
0,6,1766,1,21,"poor","goods/repair","foreign","TRUE"
1,18,2473,4,25,"poor","goods/repair","foreign","FALSE"
0,12,1542,2,36,"poor","biz","foreign","FALSE"
0,18,3850,3,27,"terrible","usedcar","foreign","FALSE"
0,18,3650,1,22,"poor","goods/repair","foreign","TRUE"
1,36,3446,4,42,"poor","goods/repair","foreign","FALSE"
0,18,3001,2,40,"poor","goods/repair","foreign","TRUE"
0,36,3079,4,36,"poor","newcar","foreign","FALSE"
0,18,6070,3,33,"terrible","goods/repair","foreign","FALSE"
0,10,2146,1,23,"terrible","goods/repair","foreign","TRUE"
0,60,13756,2,63,"terrible","newcar","foreign","FALSE"
1,60,14782,3,60,"good","biz","foreign","FALSE"
1,48,7685,2,37,"good","biz","foreign","TRUE"
0,18,2320,2,34,"poor","goods/repair","foreign","FALSE"
0,7,846,3,36,"poor","goods/repair","foreign","FALSE"
1,36,14318,4,57,"poor","newcar","foreign","FALSE"
0,6,362,4,52,"terrible","newcar","foreign","FALSE"
0,20,2212,4,39,"poor","goods/repair","foreign","FALSE"
1,18,12976,3,38,"poor","usedcar","foreign","FALSE"
0,22,1283,4,25,"poor","newcar","foreign","TRUE"
0,12,1330,4,26,"poor","newcar","foreign","FALSE"
0,30,4272,2,26,"poor","biz","foreign","FALSE"
0,18,2238,2,25,"terrible","goods/repair","foreign","FALSE"
0,18,1126,4,21,"poor","goods/repair","foreign","TRUE"
0,18,7374,4,40,"terrible","goods/repair","foreign","FALSE"
0,15,2326,2,27,"terrible","biz","foreign","FALSE"
0,9,1449,3,27,"poor","biz","foreign","FALSE"
0,18,1820,2,30,"poor","newcar","foreign","FALSE"
0,12,983,1,19,"poor","goods/repair","foreign","TRUE"
0,36,3249,2,39,"poor","newcar","foreign","FALSE"
0,6,1957,1,31,"terrible","goods/repair","foreign","FALSE"
0,9,2406,2,31,"terrible","goods/repair","foreign","FALSE"
0,39,11760,2,32,"poor","edu","foreign","TRUE"
0,12,2578,3,55,"poor","goods/repair","foreign","FALSE"
0,36,2348,3,46,"terrible","goods/repair","foreign","FALSE"
1,12,1223,1,46,"poor","newcar","foreign","TRUE"
0,24,1516,4,43,"terrible","goods/repair","foreign","FALSE"
0,18,1473,3,39,"poor","goods/repair","foreign","FALSE"
0,18,1887,4,28,"terrible","biz","foreign","FALSE"
1,24,8648,2,27,"poor","biz","foreign","FALSE"
0,14,802,4,27,"poor","newcar","foreign","FALSE"
0,18,2899,4,43,"poor","newcar","foreign","FALSE"
1,24,2039,1,22,"poor","goods/repair","foreign","FALSE"
0,24,2197,4,43,"terrible","usedcar","foreign","FALSE"
0,15,1053,4,27,"poor","goods/repair","german","FALSE"
0,24,3235,3,26,"poor","goods/repair","foreign","FALSE"
1,12,939,4,28,"terrible","newcar","foreign","FALSE"
0,24,1967,4,20,"poor","goods/repair","foreign","FALSE"
0,33,7253,3,35,"terrible","usedcar","foreign","FALSE"
1,12,2292,4,42,"terrible","biz","foreign","FALSE"
0,10,1597,3,40,"poor","newcar","german","TRUE"
1,24,1381,4,35,"poor","newcar","foreign","FALSE"
0,36,5842,2,35,"terrible","usedcar","foreign","FALSE"
1,12,2579,4,33,"poor","newcar","foreign","FALSE"
0,18,8471,1,23,"poor","edu","foreign","TRUE"
0,21,2782,1,31,"poor","newcar","foreign","FALSE"
1,18,1042,4,33,"poor","newcar","foreign","FALSE"
0,15,3186,2,20,"poor","newcar","foreign","TRUE"
0,12,2028,4,30,"poor","usedcar","foreign","FALSE"
0,12,958,2,47,"terrible","newcar","foreign","FALSE"
0,21,1591,4,34,"poor","goods/repair","foreign","FALSE"
1,12,2762,1,25,"poor","goods/repair","foreign","FALSE"
0,18,2779,1,21,"poor","usedcar","foreign","TRUE"
0,28,2743,4,29,"terrible","goods/repair","foreign","FALSE"
0,18,1149,4,46,"terrible","goods/repair","foreign","FALSE"
0,9,1313,1,20,"poor","goods/repair","foreign","FALSE"
1,18,1190,2,55,"terrible","goods/repair","foreign","FALSE"
0,5,3448,1,74,"poor","biz","foreign","FALSE"
1,24,11328,2,29,"poor","biz","foreign","FALSE"
0,6,1872,4,36,"terrible","goods/repair","foreign","FALSE"
0,24,2058,4,33,"terrible","goods/repair","foreign","FALSE"
0,9,2136,3,25,"poor","goods/repair","foreign","FALSE"
1,12,1484,2,25,"poor","goods/repair","foreign","FALSE"
0,6,660,2,23,"poor","goods/repair","foreign","TRUE"
0,24,1287,4,37,"terrible","newcar","foreign","FALSE"
0,42,3394,4,65,"terrible","goods/repair","foreign","FALSE"
1,12,609,4,26,"good","biz","foreign","FALSE"
0,12,1884,4,39,"poor","newcar","foreign","FALSE"
0,12,1620,2,30,"poor","goods/repair","foreign","FALSE"
0,20,2629,2,29,"poor","biz","foreign","FALSE"
1,12,719,4,41,"poor","edu","foreign","FALSE"
1,48,5096,2,30,"terrible","goods/repair","foreign","FALSE"
0,9,1244,4,41,"terrible","edu","foreign","TRUE"
1,36,1842,4,34,"poor","newcar","foreign","FALSE"
0,7,2576,2,35,"poor","goods/repair","foreign","FALSE"
0,12,1424,3,55,"poor","goods/repair","foreign","FALSE"
1,15,1512,3,61,"poor","goods/repair","foreign","FALSE"
0,36,11054,4,30,"terrible","usedcar","foreign","FALSE"
0,6,518,3,29,"poor","goods/repair","foreign","FALSE"
0,12,2759,2,34,"good","goods/repair","foreign","FALSE"
0,24,2670,4,35,"poor","usedcar","foreign","FALSE"
1,24,4817,2,31,"poor","newcar","foreign","FALSE"
0,24,2679,4,29,"poor","usedcar","foreign","FALSE"
0,11,3905,2,36,"terrible","newcar","foreign","TRUE"
1,12,3386,3,35,"poor","usedcar","foreign","FALSE"
0,6,343,4,27,"poor","goods/repair","foreign","FALSE"
0,18,4594,3,32,"poor","goods/repair","foreign","FALSE"
0,36,3620,1,37,"poor","goods/repair","foreign","FALSE"
0,15,1721,2,36,"poor","newcar","foreign","FALSE"
0,12,3017,3,34,"poor","goods/repair","foreign","TRUE"
0,12,754,4,38,"poor","edu","foreign","FALSE"
0,18,1950,4,34,"poor","biz","foreign","FALSE"
