"choice","incost","opcost","income","agehed","rooms","region"
"gr",1132.6,170.24,"5",55,2,"valley"
"gc",742.61,172.01,"7",45,7,"valley"
"gr",853.06,177.99,"5",60,3,"scostl"
"er",722.43,314.75,"2",50,7,"ncostl"
"ec",968.98,468.23,"5",30,6,"ncostl"
"gc",789.62,162.9,"7",35,7,"scostl"
"gc",876.06,216.02,"5",25,5,"scostl"
"gr",930.1,154.99,"3",40,4,"scostl"
"gc",704.92,173.88,"3",65,4,"ncostl"
"er",898.65,434.84,"7",40,3,"scostl"
"hp",1097.8,171.52,"3",65,2,"mountn"
"hp",981.82,202.74,"4",25,5,"scostl"
"gr",966.9,173.89,"7",45,7,"mountn"
"gc",858.69,208.01,"4",40,2,"scostl"
"gr",932.3,169.23,"7",45,7,"scostl"
"gc",638.31,162.31,"4",55,4,"ncostl"
"gc",821.55,195.14,"7",65,5,"scostl"
"hp",1043.9,191.99,"3",25,5,"scostl"
"gr",830.71,122.77,"5",35,2,"valley"
"hp",1038.1,248.99,"7",50,6,"scostl"
"gc",710.57,145,"3",45,6,"scostl"
"gc",762.4,168.49,"2",40,2,"valley"
"gc",905.16,190.87,"7",30,2,"mountn"
"gc",726.41,84.016,"3",40,5,"ncostl"
"gc",1020.1,198.63,"5",45,7,"scostl"
"gc",912.62,192.91,"2",30,6,"scostl"
"ec",1049.3,562.42,"2",55,5,"scostl"
"gc",823.14,143.98,"2",55,3,"scostl"
"gc",626.92,161.75,"3",65,3,"scostl"
"gc",730.04,168.92,"7",45,7,"scostl"
"ec",719.07,540.11,"6",65,7,"valley"
"gc",750.5,157.88,"5",40,6,"scostl"
"ec",784.33,606.83,"6",35,4,"ncostl"
"gc",795.37,171.5,"5",35,4,"ncostl"
"gc",699.04,172.32,"3",50,3,"ncostl"
"gc",790.18,194.12,"6",60,5,"scostl"
"ec",627.5,309.28,"6",45,3,"valley"
"er",884.25,371.73,"6",40,7,"valley"
"gc",732.16,112.29,"3",45,2,"ncostl"
"gc",461.29,117.15,"2",60,7,"ncostl"
"gr",974.41,136.74,"2",65,7,"scostl"
"gc",999.61,225.2,"3",30,5,"ncostl"
"gc",815.01,128.41,"7",25,3,"ncostl"
"gc",766.43,163.41,"4",30,2,"valley"
"gc",699.36,173.97,"2",35,5,"scostl"
"gr",1031.6,182.07,"2",20,3,"scostl"
"gr",948.24,152.95,"2",35,6,"scostl"
"er",1101.6,483.42,"3",45,5,"scostl"
"gc",882.75,196.02,"4",35,3,"valley"
"gc",744.18,176.33,"3",20,2,"ncostl"
"gc",776.22,171.35,"4",50,4,"ncostl"
"gc",748.78,167.03,"7",55,4,"ncostl"
"gc",1009.7,205.49,"7",45,6,"mountn"
"gc",838.99,203.23,"4",50,2,"scostl"
"gr",814.01,133.78,"3",35,4,"mountn"
"gc",808.72,172.48,"6",50,7,"scostl"
"gc",780,170.95,"7",40,2,"valley"
"gc",864.44,184.87,"7",45,3,"ncostl"
"hp",1036.7,185.1,"5",55,3,"mountn"
"gc",856.24,219.21,"7",40,2,"scostl"
"gc",996.95,190.72,"6",35,2,"scostl"
"gc",696.37,175.16,"3",40,5,"ncostl"
"gc",752.3,149.37,"5",30,2,"scostl"
"gc",769.07,209.11,"4",60,6,"ncostl"
"gc",845.93,159.9,"7",55,3,"scostl"
"gc",873.54,137.4,"6",40,2,"ncostl"
"gc",814.21,159.09,"5",50,2,"ncostl"
"ec",766.6,404,"5",20,3,"scostl"
"gc",844.42,163.82,"2",65,5,"scostl"
"gc",582.18,143.84,"6",65,6,"ncostl"
"gr",808.98,158.48,"3",35,6,"scostl"
"gc",750.74,155.93,"7",35,3,"mountn"
"gc",769.35,166.36,"5",30,7,"scostl"
"gc",766.25,175.8,"5",60,4,"ncostl"
"gc",637.69,148.46,"7",45,3,"ncostl"
"gc",837.87,182.38,"2",45,2,"ncostl"
"gc",676.21,182.38,"4",20,4,"ncostl"
"gr",985.02,165.41,"4",40,4,"scostl"
"gc",734.38,173.69,"3",20,3,"ncostl"
"gc",751.73,168.69,"6",40,5,"mountn"
"gc",861.18,180.32,"6",50,5,"valley"
"gc",773.56,163.6,"4",45,6,"scostl"
"gc",693.78,190.03,"3",35,3,"valley"
"gc",762.26,181.11,"6",45,3,"scostl"
"gc",818.01,182.39,"5",65,7,"scostl"
"gc",893.89,205.01,"5",50,6,"valley"
"gc",869.83,185.77,"6",30,4,"mountn"
"gc",897.46,185.79,"3",45,2,"valley"
"ec",871.97,439,"5",50,5,"ncostl"
"gc",866.98,199.47,"7",60,7,"valley"
"gc",814.83,162.27,"2",50,5,"scostl"
"gc",927.64,156.13,"3",65,3,"mountn"
"gc",799.5,176.83,"7",45,6,"scostl"
"gc",792.17,151.9,"5",35,5,"valley"
"gc",770.33,152.9,"3",65,4,"ncostl"
"gc",923.22,203.16,"5",30,3,"scostl"
"er",960.07,437.9,"7",55,5,"mountn"
"gc",710.54,147.07,"4",55,2,"mountn"
"gc",712.01,162.72,"5",50,7,"ncostl"
"gc",910.68,218.36,"2",55,7,"scostl"
"gc",829.19,169.75,"7",60,3,"valley"
"gc",894.18,166.23,"7",50,2,"scostl"
"gr",910.04,133.4,"3",30,3,"scostl"
"gc",728.18,167.45,"6",55,6,"scostl"
"ec",671.99,427.74,"5",60,2,"valley"
"gc",805.87,176.89,"4",30,5,"ncostl"
"gc",824.04,171.42,"3",60,5,"scostl"
"gc",838.86,173.65,"4",30,7,"ncostl"
"gc",734.11,160.17,"5",60,6,"valley"
"gc",978.23,192.98,"7",50,4,"scostl"
"gr",941.36,158,"3",50,6,"scostl"
"gc",787.95,167.34,"4",20,6,"ncostl"
"gc",720.02,178.24,"7",45,4,"ncostl"
"gr",967.58,173.56,"5",65,2,"scostl"
"gc",542.23,116,"5",20,2,"ncostl"
"er",969.93,484.12,"3",30,3,"scostl"
"ec",721.26,401.92,"3",65,6,"ncostl"
"ec",744.33,443.21,"4",50,4,"mountn"
"hp",758.72,202.9,"3",20,7,"scostl"
"gc",681.14,154.02,"2",60,7,"ncostl"
"gc",646.85,170.7,"5",30,4,"mountn"
"gc",933.56,194.26,"2",60,2,"scostl"
"gc",871.6,175.22,"6",40,7,"valley"
"gc",884.58,199.41,"2",65,7,"ncostl"
"er",831.63,333.72,"2",60,4,"valley"
"gc",732.12,159.63,"7",35,2,"ncostl"
"gr",672.57,96.281,"6",25,2,"scostl"
"gr",835.25,153.96,"7",20,7,"scostl"
"gr",676.19,109.57,"2",65,4,"scostl"
"gc",745.2,182.72,"6",60,6,"ncostl"
"gc",698.35,156.94,"2",50,3,"ncostl"
"gc",837.62,185.79,"7",30,6,"scostl"
"gr",929.45,149.49,"5",60,4,"valley"
"gc",862.79,172.52,"2",40,3,"ncostl"
"gc",752.24,166.1,"5",30,2,"valley"
"gc",701.71,205.55,"4",65,2,"valley"
"gc",889.35,192.31,"5",25,6,"ncostl"
"gc",790.05,183.06,"4",65,7,"scostl"
"gc",647.77,155.07,"2",40,5,"scostl"
"gr",784.55,150.05,"6",65,3,"scostl"
"gc",760.58,162.6,"5",30,6,"scostl"
"gc",517.82,137.61,"6",60,6,"scostl"
"gc",915.06,191.89,"4",35,2,"valley"
"gc",638.85,145.74,"3",20,3,"valley"
"gc",820.44,162.52,"6",60,6,"valley"
"gr",921.46,158.98,"4",25,5,"scostl"
"gc",577.96,111.94,"4",35,2,"ncostl"
"gc",915.75,199.82,"6",60,4,"ncostl"
"gc",703.58,165.27,"5",50,4,"scostl"
"hp",1201.4,287.52,"2",40,3,"ncostl"
"ec",469.61,347.75,"3",45,3,"mountn"
"gc",953.99,234.04,"4",60,6,"scostl"
"er",945.8,440.28,"7",25,7,"mountn"
"gr",953.48,142.73,"4",60,7,"scostl"
"er",937.27,376.04,"5",25,6,"scostl"
"gc",846.21,167.54,"7",60,7,"scostl"
"gr",903.01,135.41,"6",40,7,"valley"
"gc",1060.7,226.07,"2",20,3,"scostl"
"gr",599.51,118.88,"5",30,7,"scostl"
"ec",972.53,571.36,"4",60,5,"valley"
"ec",1013.3,517.78,"6",40,6,"ncostl"
"hp",765.11,136.46,"6",55,6,"valley"
"gc",989.79,235.97,"5",25,6,"valley"
"gc",1158.9,240.52,"4",40,5,"ncostl"
"gc",666.75,197.29,"5",55,7,"mountn"
"gc",766.12,151.52,"6",25,6,"scostl"
"gc",766.58,161.43,"2",40,5,"scostl"
"ec",891.78,490.55,"7",35,5,"mountn"
"er",979.56,363.63,"6",20,5,"ncostl"
"gc",612.73,137.82,"6",45,3,"ncostl"
"gc",678.97,178.72,"5",20,2,"ncostl"
"gc",715.15,179.94,"2",20,2,"valley"
"gc",711.7,149.74,"7",65,4,"scostl"
"gc",772.1,183.51,"6",55,5,"valley"
"gc",636.67,146.82,"5",50,6,"mountn"
"gc",712.52,176.48,"3",25,4,"scostl"
"er",845.19,318.46,"7",60,6,"scostl"
"er",905.9,447.92,"4",45,3,"valley"
"gc",550.69,155.56,"4",20,7,"valley"
"er",649.59,289.65,"7",40,3,"scostl"
"gr",659.84,99.106,"2",25,7,"scostl"
"er",1159.8,500.52,"5",20,6,"valley"
"gc",675.88,169.57,"7",55,5,"scostl"
"hp",922.36,223.81,"3",55,6,"scostl"
"gc",620.53,164.48,"5",60,3,"ncostl"
"gc",717.62,125.58,"5",45,7,"ncostl"
"gc",639.57,153.28,"5",40,4,"ncostl"
"gc",870.96,157.28,"4",40,5,"mountn"
"gc",912.33,209.83,"3",35,2,"scostl"
"hp",979.58,199.08,"7",20,4,"ncostl"
"gc",587.57,154.63,"5",30,5,"scostl"
"gc",542.06,172.31,"2",60,2,"ncostl"
"gc",651.12,135.41,"3",40,5,"valley"
"gc",739.94,149.79,"2",25,4,"ncostl"
"gr",917.79,144.96,"4",55,7,"ncostl"
"gc",673.25,127.77,"4",65,4,"scostl"
"gc",671.87,137.99,"6",35,6,"valley"
"gc",771.49,173.71,"7",50,5,"valley"
"gc",812.45,145.55,"5",40,6,"scostl"
"er",911.28,526.92,"7",35,2,"scostl"
"gr",1095.6,190.56,"3",35,5,"scostl"
"gc",956.69,197.67,"7",30,7,"scostl"
"gr",1019.9,169.77,"7",55,2,"mountn"
"gc",825.16,186.41,"6",20,5,"scostl"
"gc",748.8,167.93,"7",35,7,"scostl"
"gc",728.61,150.92,"7",50,4,"valley"
"hp",929.89,177.87,"6",50,3,"valley"
"hp",1048.4,215.71,"6",30,6,"mountn"
"gc",727.56,169.73,"6",65,3,"mountn"
"gr",772.73,115.31,"6",50,4,"valley"
"gr",1104.4,159.37,"7",40,4,"valley"
"gr",821.76,122.9,"7",40,7,"ncostl"
"er",1119.9,440.2,"2",20,2,"valley"
"gc",837.69,166.54,"7",30,6,"scostl"
"gc",744.25,146.28,"2",30,3,"scostl"
"gc",705.46,160.14,"6",55,2,"ncostl"
"gc",767.71,199.71,"4",35,6,"ncostl"
"gc",817.5,166.14,"6",50,2,"valley"
"gc",1115.5,233.86,"3",55,3,"ncostl"
"hp",1082.2,226.4,"5",35,3,"ncostl"
"gc",913.57,179.24,"5",50,7,"valley"
"gc",714.72,149.42,"2",50,3,"mountn"
"gc",796.96,162,"5",40,2,"scostl"
"hp",1144.7,252.95,"6",20,7,"valley"
"gc",644.83,125.16,"7",20,3,"ncostl"
"ec",669.18,388.09,"5",35,7,"ncostl"
"gc",928.53,219.51,"4",30,5,"ncostl"
"gr",1039.6,186.96,"6",25,4,"scostl"
"hp",1173.6,199.34,"3",30,7,"scostl"
"gc",771.77,168.1,"5",65,5,"valley"
"gc",511.33,133.59,"4",50,3,"scostl"
"gc",638.33,152.09,"6",25,7,"ncostl"
"gc",790.16,205.46,"7",65,2,"ncostl"
"gc",641.11,136.17,"7",60,7,"ncostl"
"gc",704.88,202.59,"4",65,5,"valley"
"gc",680.64,171.83,"7",40,6,"scostl"
"hp",1189,259.1,"7",60,2,"ncostl"
"ec",690.2,481.91,"2",45,3,"ncostl"
"gc",753.99,167.1,"7",30,4,"ncostl"
"er",1065.5,502.64,"3",40,7,"scostl"
"gr",1030.9,168.74,"3",55,2,"scostl"
"ec",1116,561.68,"5",50,4,"mountn"
"er",871.37,381.54,"3",20,7,"scostl"
"gc",948.35,184.83,"4",25,7,"valley"
"gc",950.87,230.79,"6",60,6,"scostl"
"gc",729.68,156.05,"2",40,7,"scostl"
"gc",759.99,166.24,"7",30,3,"ncostl"
"gc",916.11,178.62,"5",55,2,"scostl"
"er",1014.2,427.23,"3",55,3,"ncostl"
"gc",774.2,162.84,"4",55,2,"scostl"
"hp",988.95,201.48,"3",60,5,"ncostl"
"gr",916.58,156.92,"7",30,2,"scostl"
"gc",687.46,126.12,"6",55,4,"scostl"
"gc",897.65,211.64,"6",25,4,"scostl"
"gc",574.98,116.38,"3",50,4,"mountn"
"gc",900.74,151.77,"5",20,7,"ncostl"
"gr",936.54,172.48,"3",40,2,"mountn"
"gc",765.51,191.93,"6",30,5,"mountn"
"gc",829.04,193.76,"3",25,2,"valley"
"gc",745.52,155.87,"5",65,7,"ncostl"
"gc",786.05,171.95,"7",65,2,"ncostl"
"gc",855.21,208.04,"7",45,4,"scostl"
"gc",823.89,163.4,"7",50,6,"valley"
"gc",808.88,165.81,"6",55,3,"valley"
"ec",527.14,319.25,"4",30,2,"scostl"
"gc",714.03,156.45,"4",45,3,"scostl"
"gc",858.25,195.41,"7",60,4,"scostl"
"gc",735.86,177.04,"4",40,5,"mountn"
"gc",790.41,172.9,"5",55,4,"scostl"
"gc",942.83,206.61,"2",35,6,"scostl"
"gc",838.8,172.93,"5",20,6,"ncostl"
"er",848.97,390.41,"6",25,7,"ncostl"
"gc",612.54,148.87,"6",50,2,"scostl"
"gc",686.08,181.93,"5",25,5,"mountn"
"er",617,233.34,"5",35,6,"valley"
"ec",972.65,421.72,"2",45,5,"scostl"
"gr",1106.3,165.87,"2",45,4,"scostl"
"ec",579.32,412.06,"3",45,4,"mountn"
"gc",697.18,146.54,"6",30,5,"scostl"
"gc",899.62,218.23,"4",60,3,"scostl"
"gr",861.16,186.15,"3",50,7,"scostl"
"gr",1150.7,179.75,"4",25,4,"scostl"
"gc",924.11,178.1,"6",45,6,"ncostl"
"er",941.28,407.53,"7",20,6,"ncostl"
"ec",824.51,411.34,"6",40,7,"ncostl"
"gc",748.31,165.08,"2",45,3,"ncostl"
"er",962.17,434.39,"5",40,7,"mountn"
"gc",769.99,165.63,"4",50,2,"mountn"
"gc",681.35,138.74,"2",25,2,"valley"
"gc",607.74,142.6,"4",25,7,"scostl"
"gc",745.82,183.71,"4",35,4,"valley"
"gr",700.59,107.56,"4",65,3,"mountn"
"ec",978.91,500.76,"7",40,2,"scostl"
"gc",873.01,195.62,"7",50,3,"mountn"
"gc",758.99,160.4,"7",50,3,"scostl"
"gc",628.2,166.58,"7",30,5,"scostl"
"gc",734.31,192.03,"2",20,2,"mountn"
"gc",694.64,203.42,"7",65,7,"scostl"
"gr",1170.9,190.01,"4",35,2,"scostl"
"gc",919.35,209.71,"5",20,3,"ncostl"
"gc",861.98,174.42,"4",40,4,"mountn"
"gc",563.75,124.44,"3",35,4,"scostl"
"gc",682.3,162.2,"5",35,6,"ncostl"
"gc",1064.3,248.43,"6",20,7,"scostl"
"gc",834.95,180.11,"2",45,3,"ncostl"
"gc",668.77,153.44,"7",35,7,"ncostl"
"ec",847.97,483.68,"5",50,7,"ncostl"
"gr",1005.4,135.44,"6",50,3,"valley"
"gc",879.18,179.7,"7",65,4,"valley"
"gr",1085.6,148.93,"6",45,3,"valley"
"gc",818.91,195.13,"7",40,4,"ncostl"
"hp",937.13,187.44,"2",60,4,"scostl"
"ec",689.81,454.34,"6",45,7,"ncostl"
"er",1019.8,375.35,"7",30,7,"scostl"
"gc",991.29,218.62,"2",40,5,"scostl"
"gr",822.16,143.49,"2",60,6,"valley"
"gr",987.04,179.86,"2",30,5,"scostl"
"gr",850.74,132.99,"5",60,3,"valley"
"ec",728.77,447.79,"7",30,7,"ncostl"
"gc",936.46,174.53,"7",25,3,"scostl"
"hp",926.1,176.18,"7",35,3,"scostl"
"ec",744.61,428.95,"3",35,6,"ncostl"
"ec",865.07,517.64,"7",45,2,"ncostl"
"gc",926.66,196.48,"2",50,4,"mountn"
"gc",899.64,162.01,"6",30,5,"scostl"
"gr",1083,182.29,"4",45,4,"ncostl"
"gc",848.83,191.55,"7",25,7,"ncostl"
"gc",679.29,175.03,"5",30,7,"scostl"
"gc",801.32,184.92,"2",30,6,"ncostl"
"gr",1161.9,211.35,"4",55,5,"ncostl"
"gc",630.56,113.87,"4",30,7,"scostl"
"er",1211.6,419.87,"6",65,2,"mountn"
"gc",821.36,190.82,"4",60,5,"valley"
"gr",1048.7,161.32,"5",50,2,"scostl"
"gc",938.01,201.71,"2",40,3,"ncostl"
"gr",809.28,160.19,"7",45,6,"scostl"
"gr",898.65,136.73,"7",35,5,"ncostl"
"gr",1133.1,191.4,"2",50,3,"scostl"
"gc",786.19,160.18,"2",55,3,"valley"
"ec",844.49,497.55,"2",65,7,"ncostl"
"gc",557.63,128.91,"5",30,3,"mountn"
"gc",851.18,182.51,"5",50,5,"valley"
"gr",709.3,88.107,"7",30,3,"mountn"
"er",842.66,379.19,"2",40,3,"mountn"
"gc",673.69,158.91,"2",50,4,"mountn"
"ec",848.33,493.4,"3",30,2,"scostl"
"er",800.33,427.51,"3",50,2,"scostl"
"gr",860.48,163.28,"5",40,6,"valley"
"gc",1026.1,186.14,"4",60,6,"valley"
"er",678.27,344.6,"5",25,3,"ncostl"
"ec",796.91,396.64,"3",20,5,"mountn"
"gc",852.2,197.52,"6",20,2,"ncostl"
"gr",693.55,151.78,"3",40,5,"ncostl"
"ec",687.19,373.92,"4",65,5,"valley"
"ec",853.06,432.3,"7",20,2,"scostl"
"er",1045.5,479.65,"3",20,7,"ncostl"
"gr",818.03,121.66,"6",55,3,"ncostl"
"er",1027.6,378.05,"7",50,4,"mountn"
"gc",732.49,185.2,"3",30,2,"ncostl"
"gc",829.72,176.63,"4",65,2,"ncostl"
"gc",708.34,150.39,"3",65,5,"ncostl"
"gc",984.84,201.15,"7",30,5,"ncostl"
"hp",1299,277.58,"5",55,6,"scostl"
"gc",763.27,189.92,"2",45,5,"valley"
"er",1191,519.21,"3",50,3,"scostl"
"gc",774.25,165.5,"4",25,7,"ncostl"
"gc",704.06,157.36,"5",40,7,"mountn"
"gc",790.09,171.03,"5",40,3,"scostl"
"gc",955.13,176.55,"4",25,2,"ncostl"
"er",904.07,402.01,"7",55,2,"valley"
"gc",826.07,165.28,"2",40,3,"ncostl"
"gc",698.69,121.44,"5",65,4,"valley"
"gr",964.67,155.27,"3",20,6,"ncostl"
"gr",927.72,130.55,"3",65,2,"scostl"
"gc",654.73,142.69,"2",25,4,"ncostl"
"gc",635.25,162.01,"4",65,4,"scostl"
"gc",825.13,191.62,"4",25,4,"mountn"
"er",785.01,344.07,"6",30,7,"scostl"
"gc",906.51,181.08,"5",35,3,"scostl"
"hp",966.85,249.63,"4",40,5,"valley"
"gc",753.61,169.07,"7",60,2,"scostl"
"gr",971.13,160.17,"4",50,2,"valley"
"ec",731.85,420.25,"2",50,3,"valley"
"gc",652.27,162.28,"4",25,4,"ncostl"
"er",830.4,302.24,"5",50,2,"scostl"
"gc",993.35,230.32,"2",50,4,"mountn"
"er",1097.3,456.23,"7",30,6,"mountn"
"gc",798.68,182.12,"2",65,7,"scostl"
"gc",848.43,170.96,"4",40,5,"scostl"
"gr",801.6,146.89,"3",60,3,"mountn"
"gc",790.3,153.51,"4",45,5,"valley"
"gc",890.01,179.41,"3",40,3,"scostl"
"gc",720.94,137.31,"7",50,2,"ncostl"
"gc",997.03,241.34,"4",35,5,"scostl"
"gr",819.04,163.76,"7",30,4,"scostl"
"gc",778.98,162.87,"2",40,2,"scostl"
"gc",734.22,157.59,"6",45,2,"valley"
"gc",803.19,198.49,"4",25,4,"valley"
"gc",624.21,194.56,"3",25,6,"ncostl"
"gc",864.76,172.98,"2",35,3,"scostl"
"er",672.49,363.51,"4",40,6,"scostl"
"gr",726.86,137.89,"5",30,7,"valley"
"gc",840.22,213.32,"7",55,2,"valley"
"gr",910.98,190.91,"2",35,3,"ncostl"
"gc",779.81,158.06,"2",20,3,"scostl"
"gc",956.86,184.62,"5",50,6,"ncostl"
"gc",869.97,181.72,"4",50,6,"scostl"
"gc",820.54,168.09,"6",55,3,"ncostl"
"gr",908.81,162.77,"7",65,6,"ncostl"
"gc",731.92,164.63,"6",60,3,"scostl"
"gc",557.55,131.43,"4",25,2,"mountn"
"gc",654.56,150.98,"5",40,5,"scostl"
"er",843.41,430.93,"6",25,2,"ncostl"
"gc",799.23,196.52,"6",20,7,"ncostl"
"ec",900.27,559.23,"6",45,3,"scostl"
"gc",517.98,85.217,"3",30,4,"mountn"
"gc",708.01,172.18,"5",50,2,"scostl"
"gc",877.38,199.89,"2",40,5,"ncostl"
"gr",1126.9,189.13,"5",40,7,"scostl"
"gc",827.2,184.8,"3",40,3,"valley"
"gr",768.48,107.03,"4",65,6,"ncostl"
"gc",805.45,188.85,"3",45,4,"ncostl"
"ec",733.65,406.22,"3",40,2,"scostl"
