"region","date","asp","units"
"BaltimoreWashington","12/13/2015",1.15,619509.33
"BaltimoreWashington","12/6/2015",1.04,649141.25
"BaltimoreWashington","11/29/2015",1.16,545800.05
"BaltimoreWashington","11/22/2015",1.12,572019.8
"BaltimoreWashington","11/15/2015",1.04,718330.48
"BaltimoreWashington","11/8/2015",1.05,830967.23
"BaltimoreWashington","11/1/2015",1.12,742220.67
"BaltimoreWashington","10/25/2015",1.19,656892.03
"BaltimoreWashington","10/18/2015",0.99,1005603.78
"BaltimoreWashington","10/11/2015",1.24,653560.14
"BaltimoreWashington","10/4/2015",1.28,657444.04
"BaltimoreWashington","9/27/2015",1.19,696281.81
"BaltimoreWashington","9/20/2015",1.17,709268.62
"BaltimoreWashington","9/13/2015",1.09,924993.61
"BaltimoreWashington","9/6/2015",1.18,823623.36
"BaltimoreWashington","8/30/2015",1.24,734721.29
"BaltimoreWashington","8/23/2015",1.16,783935.36
"BaltimoreWashington","8/16/2015",1.14,882754.72
"BaltimoreWashington","8/9/2015",1.16,821523.45
"BaltimoreWashington","8/2/2015",1.17,800603.23
"BaltimoreWashington","7/26/2015",1.2,772926.12
"BaltimoreWashington","7/19/2015",1.18,800194.34
"BaltimoreWashington","7/12/2015",1.1,850931.58
"BaltimoreWashington","7/5/2015",1.16,896298.77
"BaltimoreWashington","6/28/2015",1.15,862261.64
"BaltimoreWashington","6/21/2015",1.16,862840.73
"BaltimoreWashington","6/14/2015",1.09,955046.82
"BaltimoreWashington","6/7/2015",1.26,794310.29
"BaltimoreWashington","5/31/2015",1.19,949177.06
"BaltimoreWashington","5/24/2015",1.18,908661.83
"BaltimoreWashington","5/17/2015",1.27,790853.86
"BaltimoreWashington","5/10/2015",1.26,855205.82
"BaltimoreWashington","5/3/2015",1.17,896972.05
"BaltimoreWashington","4/26/2015",1.29,747841.09
"BaltimoreWashington","4/19/2015",1.28,762862.62
"BaltimoreWashington","4/12/2015",1.15,837629.62
"BaltimoreWashington","4/5/2015",1.29,688065.45
"BaltimoreWashington","3/29/2015",1.25,663677.32
"BaltimoreWashington","3/22/2015",1.1,808897.21
"BaltimoreWashington","3/15/2015",1.24,693698.13
"BaltimoreWashington","3/8/2015",1.26,657745.9
"BaltimoreWashington","3/1/2015",1.16,770115.24
"BaltimoreWashington","2/22/2015",1.11,749845.79
"BaltimoreWashington","2/15/2015",1.25,637319.34
"BaltimoreWashington","2/8/2015",1.09,844931.21
"BaltimoreWashington","2/1/2015",1.06,1007418.76
"BaltimoreWashington","1/25/2015",1.2,692934.46
"BaltimoreWashington","1/18/2015",1.23,657741.34
"BaltimoreWashington","1/11/2015",1.17,670231.94
"BaltimoreWashington","1/4/2015",1.08,788025.06
"Boise","12/27/2015",0.97,62909.69
"Boise","12/20/2015",1.03,57504.05
"Boise","12/13/2015",0.99,58461.05
"Boise","12/6/2015",0.71,95295.34
"Boise","11/29/2015",1.06,49069.13
"Boise","11/22/2015",1.09,52875.58
"Boise","11/15/2015",1.01,68648.22
"Boise","11/8/2015",1.11,55847.79
"Boise","11/1/2015",1.14,53585.51
"Boise","10/25/2015",1.11,59874.45
"Boise","10/18/2015",1.16,54191.14
"Boise","10/11/2015",0.94,80904.19
"Boise","10/4/2015",1.12,59496.33
"Boise","9/27/2015",0.99,64187.8
"Boise","9/20/2015",1.03,73952.9
"Boise","9/13/2015",1.08,64208.84
"Boise","9/6/2015",1.16,64464.61
"Boise","8/30/2015",1.19,60099.83
"Boise","8/23/2015",1.05,70773.76
"Boise","8/16/2015",1.12,64001.61
"Boise","8/9/2015",1.1,61286.98
"Boise","8/2/2015",1.07,67763.91
"Boise","7/26/2015",1.07,67826.07
"Boise","7/19/2015",1.09,63958.04
"Boise","7/12/2015",1.05,74677.72
"Boise","7/5/2015",1.15,85044.45
"Boise","6/28/2015",1.04,75280.41
"Boise","6/21/2015",1.06,81397.07
"Boise","6/14/2015",0.99,87607.71
"Boise","6/7/2015",1.12,80751.29
"Boise","5/31/2015",0.97,76689.38
"Boise","5/24/2015",1.03,83209.77
"Boise","5/17/2015",0.96,77987.53
"Boise","5/10/2015",1.06,95788.53
"Boise","5/3/2015",1,85466.99
"Boise","4/26/2015",0.96,88111.17
"Boise","4/19/2015",0.99,89694.96
"Boise","4/12/2015",1.19,66246.3
"Boise","4/5/2015",1.09,76704.46
"Boise","3/29/2015",0.98,74543.98
"Boise","3/22/2015",1.17,61419.11
"Boise","3/15/2015",1,65918.28
"Boise","3/8/2015",1.14,65350.24
"Boise","3/1/2015",1.06,75046.37
"Boise","2/22/2015",0.99,76836.1
"Boise","2/15/2015",1.14,61221.98
"Boise","2/8/2015",1.07,69970.75
"Boise","2/1/2015",0.91,113578.24
"Boise","1/25/2015",1.03,66069.21
"Boise","1/18/2015",1.08,62870.49
"Boise","1/11/2015",1.18,57355.52
"Boise","1/4/2015",1.01,80034.32
"Boston","12/27/2015",1.13,450816.39
"Boston","12/20/2015",1.07,489802.88
"Boston","12/13/2015",1.01,549945.76
"Boston","12/6/2015",1.02,488679.31
"Boston","11/29/2015",1.19,350559.81
"Boston","11/22/2015",1.07,466759.99
"Boston","11/15/2015",1.05,513738.98
"Boston","11/8/2015",1.04,641759.57
"Boston","11/1/2015",1.06,553096.84
"Boston","10/25/2015",1.02,534249.47
"Boston","10/18/2015",0.94,725296.29
"Boston","10/11/2015",1.14,485706.68
"Boston","10/4/2015",1.07,536479.42
"Boston","9/27/2015",1.07,553307.04
"Boston","9/20/2015",1.15,498640.23
"Boston","9/13/2015",1.03,655682.95
"Boston","9/6/2015",1.11,577774.74
"Boston","8/30/2015",1.13,526664.87
"Boston","8/23/2015",1.07,589471.32
"Boston","8/16/2015",1.15,565795.06
"Boston","8/9/2015",1.07,690517.19
"Boston","8/2/2015",1.17,571994.5
"Boston","7/26/2015",1.28,500233.69
"Boston","7/19/2015",1.18,597168.12
"Boston","7/12/2015",1.14,634515.74
"Boston","7/5/2015",1.27,582909.73
"Boston","6/28/2015",1.25,560494.92
"Boston","6/21/2015",1.24,543504.66
"Boston","6/14/2015",1.08,684346.48
"Boston","6/7/2015",1.25,562542.86
"Boston","5/31/2015",1.26,565160.95
"Boston","5/24/2015",1.14,633521.98
"Boston","5/17/2015",1.26,534488.54
"Boston","5/10/2015",1.14,625558.14
"Boston","5/3/2015",1.17,552368.94
"Boston","4/26/2015",1.28,465911.37
"Boston","4/19/2015",1.15,504619.83
"Boston","4/12/2015",1.26,408485.16
"Boston","4/5/2015",1.27,449818.01
"Boston","3/29/2015",1.19,453631.25
"Boston","3/22/2015",1.18,453173.22
"Boston","3/15/2015",1.25,417750.36
"Boston","3/8/2015",1.17,408403.96
"Boston","3/1/2015",1.11,485736.1
"Boston","2/22/2015",1.23,355432.28
"Boston","2/15/2015",1.2,399883.99
"Boston","2/8/2015",1.04,609985.34
"Boston","2/1/2015",1.22,490022.14
"Boston","1/25/2015",1.17,409343.56
"Boston","1/18/2015",1.23,401331.33
"Boston","1/11/2015",1.1,437771.89
"Boston","1/4/2015",1.02,491738
"BuffaloRochester","12/27/2015",1.35,96233.08
"BuffaloRochester","12/20/2015",1.37,90867.51
"BuffaloRochester","12/13/2015",1.35,98473.23
"BuffaloRochester","12/6/2015",1.23,108457.82
"BuffaloRochester","11/29/2015",1.39,79973.14
"BuffaloRochester","11/22/2015",1.4,90242.31
"BuffaloRochester","11/15/2015",1.36,99703.72
"BuffaloRochester","11/8/2015",1.3,111038.95
"BuffaloRochester","11/1/2015",1.23,118541.11
"BuffaloRochester","10/25/2015",1.36,99554.55
"BuffaloRochester","10/18/2015",1.29,106083.75
"BuffaloRochester","10/11/2015",1.3,109153.84
"BuffaloRochester","10/4/2015",1.33,98900.48
"BuffaloRochester","9/27/2015",1.31,90745.72
"BuffaloRochester","9/20/2015",1.54,60624.47
"BuffaloRochester","9/13/2015",1.59,73043.2
"BuffaloRochester","9/6/2015",1.56,76139.58
"BuffaloRochester","8/30/2015",1.38,83731.42
"BuffaloRochester","8/23/2015",1.49,68953.29
"BuffaloRochester","8/16/2015",1.5,69798.09
"BuffaloRochester","8/9/2015",1.47,81830.13
"BuffaloRochester","8/2/2015",1.47,78162.92
"BuffaloRochester","7/26/2015",1.39,91825.07
"BuffaloRochester","7/19/2015",1.36,128846.15
"BuffaloRochester","7/12/2015",1.45,127351.46
"BuffaloRochester","7/5/2015",1.47,140413.9
"BuffaloRochester","6/28/2015",1.36,137246.7
"BuffaloRochester","6/21/2015",1.5,108655.36
"BuffaloRochester","6/14/2015",1.34,149376.79
"BuffaloRochester","6/7/2015",1.38,130908.11
"BuffaloRochester","5/31/2015",1.4,130841.08
"BuffaloRochester","5/24/2015",1.43,121942.61
"BuffaloRochester","5/17/2015",1.35,137050.23
"BuffaloRochester","5/10/2015",1.33,170547.18
"BuffaloRochester","5/3/2015",1.42,136771.79
"BuffaloRochester","4/26/2015",1.41,136964.3
"BuffaloRochester","4/19/2015",1.42,139612.52
"BuffaloRochester","4/12/2015",1.42,118172.53
"BuffaloRochester","4/5/2015",1.44,124145.62
"BuffaloRochester","3/29/2015",1.39,119890.65
"BuffaloRochester","3/22/2015",1.4,119902.96
"BuffaloRochester","3/15/2015",1.47,103413.11
"BuffaloRochester","3/8/2015",1.35,125724.96
"BuffaloRochester","3/1/2015",1.43,112363.86
"BuffaloRochester","2/22/2015",1.41,109546.92
"BuffaloRochester","2/15/2015",1.44,100207.14
"BuffaloRochester","2/8/2015",1.36,132760.1
"BuffaloRochester","2/1/2015",1.33,153920.35
"BuffaloRochester","1/25/2015",1.5,114052.94
"BuffaloRochester","1/18/2015",1.52,107040.29
"BuffaloRochester","1/11/2015",1.54,106221.32
"BuffaloRochester","1/4/2015",1.4,116253.44
"Charlotte","12/27/2015",0.96,156698.24
"Charlotte","12/20/2015",0.98,139917.89
"Charlotte","12/13/2015",0.95,157146.19
"Charlotte","12/6/2015",0.99,156114.08
"Charlotte","11/29/2015",0.95,138858.86
"Charlotte","11/22/2015",1,133618.33
"Charlotte","11/15/2015",1.01,169281.16
"Charlotte","11/8/2015",1.03,164322.04
"Charlotte","11/1/2015",1.11,171793.87
"Charlotte","10/25/2015",1.27,140920.61
"Charlotte","10/18/2015",1.26,156565.98
"Charlotte","10/11/2015",1.14,167396.56
"Charlotte","10/4/2015",1.22,146737.74
"Charlotte","9/27/2015",1.09,168780.22
"Charlotte","9/20/2015",1.2,161443.98
"Charlotte","9/13/2015",1.19,171077.53
"Charlotte","9/6/2015",1.01,227728.43
"Charlotte","8/30/2015",1.2,179026.88
"Charlotte","8/23/2015",1.15,203298.37
"Charlotte","8/16/2015",1.24,178525.52
"Charlotte","8/9/2015",1.21,173059.32
"Charlotte","8/2/2015",1.24,179321.9
"Charlotte","7/26/2015",1.23,173896.82
"Charlotte","7/19/2015",1.19,187575.03
"Charlotte","7/12/2015",1.18,182856.82
"Charlotte","7/5/2015",1.18,216118.9
"Charlotte","6/28/2015",1.17,193654.01
"Charlotte","6/21/2015",1.17,201173.1
"Charlotte","6/14/2015",1.15,207093.88
"Charlotte","6/7/2015",1.15,199980.3
"Charlotte","5/31/2015",1.19,194630.86
"Charlotte","5/24/2015",1.2,212527.72
"Charlotte","5/17/2015",1.21,190799.99
"Charlotte","5/10/2015",1.19,192767.09
"Charlotte","5/3/2015",1,261492.2
"Charlotte","4/26/2015",1.2,182141.55
"Charlotte","4/19/2015",1.18,180944.22
"Charlotte","4/12/2015",1.17,204005.24
"Charlotte","4/5/2015",1.19,177919.28
"Charlotte","3/29/2015",1.23,178788.49
"Charlotte","3/22/2015",1.19,182876.15
"Charlotte","3/15/2015",1.19,183944.05
"Charlotte","3/8/2015",1.25,159386.69
"Charlotte","3/1/2015",1.18,176146.34
"Charlotte","2/22/2015",1.08,201741.43
"Charlotte","2/15/2015",1.22,156798.51
"Charlotte","2/8/2015",1.17,150139.38
"Charlotte","2/1/2015",0.98,254009.7
"Charlotte","1/25/2015",1.18,167270.13
"Charlotte","1/18/2015",1.25,152671.15
"Charlotte","1/11/2015",1.26,159942.68
"Charlotte","1/4/2015",1.19,166006.29
"Chicago","12/27/2015",0.93,661137.13
"Chicago","12/20/2015",0.91,690669.34
"Chicago","12/13/2015",1.07,668601.5
"Chicago","12/6/2015",1.14,664020.49
"Chicago","11/29/2015",1.11,602481.22
"Chicago","11/22/2015",0.94,751897.89
"Chicago","11/15/2015",1.17,641881.96
"Chicago","11/8/2015",1.01,711146.61
"Chicago","11/1/2015",1,807041.46
"Chicago","10/25/2015",1.12,687650.27
"Chicago","10/18/2015",1.15,690302.58
"Chicago","10/11/2015",1.08,708914.17
"Chicago","10/4/2015",1.18,675172.63
"Chicago","9/27/2015",1.15,720501.55
"Chicago","9/20/2015",1.19,729117.42
"Chicago","9/13/2015",1.19,775671.49
"Chicago","9/6/2015",1.11,808677.78
"Chicago","8/30/2015",1.12,773773.53
"Chicago","8/23/2015",1.2,751850.01
"Chicago","8/16/2015",1.16,817690.89
"Chicago","8/9/2015",1.25,731125.01
"Chicago","8/2/2015",1.27,761027.42
"Chicago","7/26/2015",1.12,791332.34
"Chicago","7/19/2015",1.24,797060.27
"Chicago","7/12/2015",1.26,772151.2
"Chicago","7/5/2015",1.24,937317.45
"Chicago","6/28/2015",1.21,786250.22
"Chicago","6/21/2015",1.24,804902.52
"Chicago","6/14/2015",1.21,868197.41
"Chicago","6/7/2015",1.24,824216.23
"Chicago","5/31/2015",1.26,803571.87
"Chicago","5/24/2015",1.23,887105.04
"Chicago","5/17/2015",1.23,817870.17
"Chicago","5/10/2015",1.23,835938.63
"Chicago","5/3/2015",1.04,978376.13
"Chicago","4/26/2015",1.24,779868.01
"Chicago","4/19/2015",1.24,832529.06
"Chicago","4/12/2015",1.24,710718.98
"Chicago","4/5/2015",1.27,751812.42
"Chicago","3/29/2015",1.22,757271.96
"Chicago","3/22/2015",1.21,799946.53
"Chicago","3/15/2015",1.09,827010.39
"Chicago","3/8/2015",1.18,772997.09
"Chicago","3/1/2015",1.09,863391.73
"Chicago","2/22/2015",1.18,773078.09
"Chicago","2/15/2015",1.17,726401.24
"Chicago","2/8/2015",1.13,729325.61
"Chicago","2/1/2015",0.91,1133491.66
"Chicago","1/25/2015",1.22,745439.17
"Chicago","1/18/2015",1.14,797741.43
"Chicago","1/11/2015",1.15,802874.94
"Chicago","1/4/2015",1.11,783068.03
"CincinnatiDayton","12/27/2015",0.87,162993.77
"CincinnatiDayton","12/20/2015",0.85,175425.57
"CincinnatiDayton","12/13/2015",0.79,207386.27
"CincinnatiDayton","12/6/2015",0.83,207513.04
"CincinnatiDayton","11/29/2015",0.88,141356.34
"CincinnatiDayton","11/22/2015",0.89,174892.99
"CincinnatiDayton","11/15/2015",0.88,193723.22
"CincinnatiDayton","11/8/2015",0.87,239070.13
"CincinnatiDayton","11/1/2015",0.93,254760.33
"CincinnatiDayton","10/25/2015",1.01,203681.71
"CincinnatiDayton","10/18/2015",0.98,186044.56
"CincinnatiDayton","10/11/2015",0.91,213527.77
"CincinnatiDayton","10/4/2015",0.93,235243.88
"CincinnatiDayton","9/27/2015",1.08,202012.62
"CincinnatiDayton","9/20/2015",1.05,210445.12
"CincinnatiDayton","9/13/2015",1.05,216548.9
"CincinnatiDayton","9/6/2015",1.02,232157.91
"CincinnatiDayton","8/30/2015",1.01,234132.09
"CincinnatiDayton","8/23/2015",1.05,208608.84
"CincinnatiDayton","8/16/2015",1.01,234349.47
"CincinnatiDayton","8/9/2015",1.08,214374.41
"CincinnatiDayton","8/2/2015",1.09,206121.36
"CincinnatiDayton","7/26/2015",1.03,216611.18
"CincinnatiDayton","7/19/2015",1.06,223479.02
"CincinnatiDayton","7/12/2015",1.03,218170.8
"CincinnatiDayton","7/5/2015",1.03,250626.33
"CincinnatiDayton","6/28/2015",1.01,225165.84
"CincinnatiDayton","6/21/2015",1.02,243012.2
"CincinnatiDayton","6/14/2015",1.05,229363.51
"CincinnatiDayton","6/7/2015",1.07,234981.67
"CincinnatiDayton","5/31/2015",1.06,222382.69
"CincinnatiDayton","5/24/2015",1.1,222390.09
"CincinnatiDayton","5/17/2015",1.04,234579.34
"CincinnatiDayton","5/10/2015",1.06,259598.76
"CincinnatiDayton","5/3/2015",1.08,238140.96
"CincinnatiDayton","4/26/2015",1.06,214469.51
"CincinnatiDayton","4/19/2015",1.02,226978.72
"CincinnatiDayton","4/12/2015",1.02,188937.83
"CincinnatiDayton","4/5/2015",1.06,196168.6
"CincinnatiDayton","3/29/2015",0.95,198365.16
"CincinnatiDayton","3/22/2015",0.98,212719.94
"CincinnatiDayton","3/15/2015",0.94,196008.57
"CincinnatiDayton","3/8/2015",0.87,219110.81
"CincinnatiDayton","3/1/2015",0.89,226951.64
"CincinnatiDayton","2/22/2015",0.93,183072.02
"CincinnatiDayton","2/15/2015",0.94,169950.37
"CincinnatiDayton","2/8/2015",0.93,186617.2
"CincinnatiDayton","2/1/2015",0.86,300905.18
"CincinnatiDayton","1/25/2015",0.93,213554.45
"CincinnatiDayton","1/18/2015",0.93,175681.09
"CincinnatiDayton","1/11/2015",0.92,201392.27
"CincinnatiDayton","1/4/2015",0.88,228569.58
"Columbus","12/27/2015",0.99,107565.04
"Columbus","12/20/2015",1.03,117393.22
"Columbus","12/13/2015",1.03,124617.07
"Columbus","12/6/2015",0.99,137195.59
"Columbus","11/29/2015",1.03,97235.6
"Columbus","11/22/2015",1.04,115089.62
"Columbus","11/15/2015",0.99,117462.94
"Columbus","11/8/2015",0.95,152084.79
"Columbus","11/1/2015",0.99,135237.01
"Columbus","10/25/2015",1.04,119210.27
"Columbus","10/18/2015",0.98,137773.84
"Columbus","10/11/2015",0.9,145305.65
"Columbus","10/4/2015",0.93,134326.53
"Columbus","9/27/2015",1.02,137298.77
"Columbus","9/20/2015",1,165068.86
"Columbus","9/13/2015",1.02,169025.14
"Columbus","9/6/2015",1.04,144563.15
"Columbus","8/30/2015",1.03,147230.76
"Columbus","8/23/2015",1.08,130920.97
"Columbus","8/16/2015",1.03,155881.73
"Columbus","8/9/2015",1,167387.9
"Columbus","8/2/2015",1.05,148597.91
"Columbus","7/26/2015",1.02,159846.2
"Columbus","7/19/2015",1.05,159137.17
"Columbus","7/12/2015",1.04,143992.91
"Columbus","7/5/2015",0.98,173370.68
"Columbus","6/28/2015",0.94,159970.54
"Columbus","6/21/2015",0.99,164161.25
"Columbus","6/14/2015",1.01,171353.59
"Columbus","6/7/2015",1.03,187983.88
"Columbus","5/31/2015",1.1,143985.96
"Columbus","5/24/2015",1.01,171879.57
"Columbus","5/17/2015",1,180511.78
"Columbus","5/10/2015",1.1,162802.65
"Columbus","5/3/2015",0.99,176737.77
"Columbus","4/26/2015",1.02,161438.17
"Columbus","4/19/2015",1,172913.44
"Columbus","4/12/2015",1.07,129397.39
"Columbus","4/5/2015",1.09,126109.82
"Columbus","3/29/2015",0.96,139065.31
"Columbus","3/22/2015",0.94,182625.49
"Columbus","3/15/2015",1.01,149884.1
"Columbus","3/8/2015",0.95,141281.56
"Columbus","3/1/2015",1.03,136795.35
"Columbus","2/22/2015",1.09,114280.87
"Columbus","2/15/2015",1.05,106663.68
"Columbus","2/8/2015",0.96,128078.27
"Columbus","2/1/2015",0.87,216653.06
"Columbus","1/25/2015",1.08,116995.68
"Columbus","1/18/2015",1.02,116450.21
"Columbus","1/11/2015",0.97,125742.48
"Columbus","1/4/2015",0.89,158638.04
"DallasFtWorth","12/27/2015",0.8,1020390.64
"DallasFtWorth","12/20/2015",0.82,928051.16
"DallasFtWorth","12/13/2015",0.79,980891.18
"DallasFtWorth","12/6/2015",0.74,1054849.97
"DallasFtWorth","11/29/2015",0.8,839818.87
"DallasFtWorth","11/22/2015",0.78,885067.49
"DallasFtWorth","11/15/2015",0.71,1040439.71
"DallasFtWorth","11/8/2015",0.8,977717.36
"DallasFtWorth","11/1/2015",0.78,1114177.66
"DallasFtWorth","10/25/2015",0.86,1010394.81
"DallasFtWorth","10/18/2015",0.83,992983.76
"DallasFtWorth","10/11/2015",0.81,1100679.15
"DallasFtWorth","10/4/2015",0.82,1104602.14
"DallasFtWorth","9/27/2015",0.84,1063583.86
"DallasFtWorth","9/20/2015",0.77,1155212.67
"DallasFtWorth","9/13/2015",0.86,1212585.41
"DallasFtWorth","9/6/2015",0.84,1270739.69
"DallasFtWorth","8/30/2015",0.82,1101680.91
"DallasFtWorth","8/23/2015",0.85,1120172.03
"DallasFtWorth","8/16/2015",0.88,1122668.33
"DallasFtWorth","8/9/2015",0.85,1124259.51
"DallasFtWorth","8/2/2015",0.87,1067498.21
"DallasFtWorth","7/26/2015",0.8,1191310.92
"DallasFtWorth","7/19/2015",0.82,1186878.88
"DallasFtWorth","7/12/2015",0.82,1144448.23
"DallasFtWorth","7/5/2015",0.83,1320696.13
"DallasFtWorth","6/28/2015",0.77,1203553.98
"DallasFtWorth","6/21/2015",0.75,1283503.44
"DallasFtWorth","6/14/2015",0.65,1508750.45
"DallasFtWorth","6/7/2015",0.73,1255575.78
"DallasFtWorth","5/31/2015",0.68,1377670.81
"DallasFtWorth","5/24/2015",0.81,1184131.34
"DallasFtWorth","5/17/2015",0.73,1219398.43
"DallasFtWorth","5/10/2015",0.75,1298826.19
"DallasFtWorth","5/3/2015",0.77,1282852.08
"DallasFtWorth","4/26/2015",0.81,1102639.51
"DallasFtWorth","4/19/2015",0.8,1137811.87
"DallasFtWorth","4/12/2015",0.72,1266899.55
"DallasFtWorth","4/5/2015",0.77,1324348.89
"DallasFtWorth","3/29/2015",0.79,1164808.22
"DallasFtWorth","3/22/2015",0.67,1333424.37
"DallasFtWorth","3/15/2015",0.72,1211158.55
"DallasFtWorth","3/8/2015",0.75,1218684.28
"DallasFtWorth","3/1/2015",0.82,1144032.03
"DallasFtWorth","2/22/2015",0.8,1116600.76
"DallasFtWorth","2/15/2015",0.77,1020856.87
"DallasFtWorth","2/8/2015",0.67,1207167.54
"DallasFtWorth","2/1/2015",0.68,1391089.32
"DallasFtWorth","1/25/2015",0.8,1008295.47
"DallasFtWorth","1/18/2015",0.76,1091677.29
"DallasFtWorth","1/11/2015",0.76,1128693.04
"DallasFtWorth","1/4/2015",0.74,1086363.97
"Denver","12/27/2015",0.98,625475.1
"Denver","12/20/2015",1.05,528944.54
"Denver","12/13/2015",0.83,741702.5
"Denver","12/6/2015",0.76,838225.19
"Denver","11/29/2015",1.12,429109.64
"Denver","11/22/2015",0.85,724865.72
"Denver","11/15/2015",0.82,925618.09
"Denver","11/8/2015",0.93,690633.88
"Denver","11/1/2015",0.82,831994.43
"Denver","10/25/2015",0.93,735206.51
"Denver","10/18/2015",0.87,805437.95
"Denver","10/11/2015",0.9,775976.51
"Denver","10/4/2015",1.02,678935.84
"Denver","9/27/2015",0.97,694871.74
"Denver","9/20/2015",0.98,760083.16
"Denver","9/13/2015",1.01,735436.91
"Denver","9/6/2015",1.09,729046.74
"Denver","8/30/2015",1.14,721703.83
"Denver","8/23/2015",1.2,598195.03
"Denver","8/16/2015",1.17,648148.15
"Denver","8/9/2015",1.09,669377.04
"Denver","8/2/2015",1.05,727916.83
"Denver","7/26/2015",1.18,703672.69
