"longitude","latitude","housingMedianAge","population","households","medianIncome","medianHouseValue","AveBedrms","AveRooms","AveOccupancy"
-122.27,37.83,48,987,374,10972,104500,1.15508021390374,4.80748663101604,2.63903743315508
-122.28,37.83,52,901,403,14103,103900,0.967741935483871,3.74937965260546,2.23573200992556
-122.26,37.83,52,689,309,34800,191400,1.06796116504854,4.75728155339806,2.22977346278317
-122.26,37.83,52,1377,696,25898,176000,1.02729885057471,3.49425287356322,1.97844827586207
-122.26,37.83,52,946,395,20978,155400,1.06075949367089,4.21518987341772,2.39493670886076
-122.26,37.83,51,517,249,12852,150000,1.24899598393574,3.75903614457831,2.07630522088353
-122.26,37.84,49,462,189,10250,118800,1.06878306878307,3.77248677248677,2.44444444444444
-122.26,37.84,52,467,198,39643,188800,1.02020202020202,4.7979797979798,2.35858585858586
-122.26,37.83,52,660,292,30125,184400,1.06506849315068,4.94178082191781,2.26027397260274
-122.26,37.83,52,718,382,26768,182300,1.09947643979058,4.33507853403141,1.87958115183246
-122.26,37.83,50,616,304,20260,142500,1.05921052631579,3.70065789473684,2.02631578947368
-122.27,37.82,43,558,253,17348,137500,1.23320158102767,3.9802371541502,2.20553359683794
-122.26,37.82,40,423,160,9506,187500,1.21875,3.9,2.64375
-122.27,37.82,40,700,352,17750,112500,1.06534090909091,2.6875,1.98863636363636
-122.27,37.82,21,735,438,9218,171900,1.03424657534247,2.04566210045662,1.67808219178082
-122.27,37.82,43,1061,407,15045,93800,1.12039312039312,4.58968058968059,2.60687960687961
-122.27,37.82,41,1959,720,11108,97500,1.18472222222222,4.47361111111111,2.72083333333333
-122.27,37.82,52,1162,400,12475,104200,1.14,4.075,2.905
-122.28,37.82,52,701,233,16098,87500,1.00858369098712,5.02145922746781,3.00858369098712
-122.28,37.82,52,576,220,14113,83100,1.10454545454545,4.29545454545455,2.61818181818182
-122.28,37.82,52,622,259,15057,87500,1.11196911196911,4.77992277992278,2.4015444015444
-122.28,37.82,52,728,244,8172,85300,1.37295081967213,6.10245901639344,2.98360655737705
-122.28,37.82,52,1074,304,12171,80300,1.12171052631579,4.5625,3.53289473684211
-122.29,37.82,2,94,57,25625,60000,0.754385964912281,2.7719298245614,1.64912280701754
-122.29,37.83,52,554,187,33929,75700,1.1283422459893,5.99465240641711,2.96256684491979
-122.29,37.82,49,86,23,61183,75000,1.26086956521739,5.8695652173913,3.73913043478261
-122.29,37.81,50,377,122,9011,86100,1.55737704918033,6.22950819672131,3.09016393442623
-122.3,37.81,52,521,159,11910,76100,1.49056603773585,7.69811320754717,3.27672955974843
-122.3,37.81,48,392,133,25938,73500,1.36842105263158,6.22556390977444,2.94736842105263
-122.3,37.81,52,604,187,11667,78400,1.11764705882353,5.40106951871658,3.22994652406417
-122.3,37.81,48,788,332,8056,84400,1.06626506024096,4.38253012048193,2.37349397590361
-122.29,37.8,52,492,147,26094,81300,1.65986394557823,6.98639455782313,3.3469387755102
-122.3,37.81,52,274,82,18516,85000,1.32926829268293,6.97560975609756,3.34146341463415
-122.29,37.81,46,1823,611,9802,129200,1.05400981996727,4.58428805237316,2.98363338788871
-122.29,37.81,26,392,127,17719,82500,1.19685039370079,6.04724409448819,3.08661417322835
-122.29,37.81,46,582,277,7286,95200,1.07220216606498,3.37545126353791,2.10108303249097
-122.29,37.81,49,560,152,17500,75000,1.34210526315789,5.55263157894737,3.68421052631579
-122.29,37.81,46,18,7,4999,67500,0.571428571428571,1.71428571428571,2.57142857142857
-122.29,37.81,20,290,133,24830,137500,1.21052631578947,6.2781954887218,2.18045112781955
-122.28,37.81,17,762,439,9241,177500,1.05239179954442,2.81776765375854,1.73576309794989
-122.28,37.81,36,1236,509,24464,102100,1.1041257367387,5.72495088408644,2.42829076620825
-122.28,37.81,19,721,207,11111,108300,1.17391304347826,5.83091787439614,3.48309178743961
-122.29,37.81,23,1054,325,8026,112500,1.15076923076923,5.36923076923077,3.24307692307692
-122.28,37.8,38,344,155,20114,131300,1.13548387096774,4.41290322580645,2.21935483870968
-122.28,37.81,17,609,289,15000,162500,1,3.19723183391003,2.10726643598616
-122.27,37.81,52,183,56,11667,112500,1,3.75,3.26785714285714
-122.28,37.81,52,200,87,15208,112500,1.11494252873563,3.90804597701149,2.29885057471264
-122.28,37.81,52,346,155,8075,137500,1.05806451612903,2.49032258064516,2.23225806451613
-122.28,37.81,35,467,169,18088,118800,1.0887573964497,5.6094674556213,2.76331360946746
-122.28,37.81,52,377,115,24083,98200,1.24347826086957,6.72173913043478,3.27826086956522
-122.27,37.81,40,582,380,9770,118800,1.18684210526316,2.31578947368421,1.53157894736842
-122.27,37.81,10,546,330,7600,162500,1.05454545454545,2.65151515151515,1.65454545454545
-122.27,37.8,10,125,39,9722,137500,1.07692307692308,2.69230769230769,3.20512820512821
-122.27,37.8,52,396,85,12434,500001,0.917647058823529,2.92941176470588,4.65882352941177
-122.27,37.8,16,800,362,20938,162500,1.0828729281768,2.74585635359116,2.20994475138122
-122.28,37.8,52,904,88,8668,137500,0.988636363636364,2.44318181818182,10.2727272727273
-122.28,37.8,52,191,34,7500,162500,0.911764705882353,2.82352941176471,5.61764705882353
-122.27,37.79,27,718,302,26354,187500,1.14900662251656,3.49337748344371,2.37748344370861
-122.27,37.8,39,1327,467,18477,179200,1.33404710920771,3.67237687366167,2.84154175588865
-122.26,37.8,36,3469,2323,20096,130000,1.06629358588033,2.29401635815755,1.49332759362893
-122.26,37.82,31,2048,1180,28345,183800,1.12796610169492,3.89491525423729,1.73559322033898
-122.26,37.81,29,202,91,20062,125000,1.17582417582418,3.68131868131868,2.21978021978022
-122.26,37.82,22,2024,1250,12185,170000,1.016,2.9456,1.6192
-122.26,37.82,37,1838,980,26104,193100,1.10714285714286,3.70714285714286,1.87551020408163
-122.25,37.81,29,2304,1250,24912,257800,1.1312,3.7248,1.8432
-122.25,37.81,28,2563,1497,32177,273400,1.07080828323313,3.87842351369405,1.71209084836339
-122.25,37.81,39,389,228,31250,237500,1.06140350877193,3.74561403508772,1.70614035087719
-122.25,37.81,52,895,613,25795,350000,1.14355628058728,3.51549755301794,1.46003262642741
-122.26,37.81,34,2689,1789,28406,335700,1.06987143655674,3.28172163219676,1.5030743432085
-122.24,37.82,52,674,244,49306,313400,0.922131147540984,6.1844262295082,2.76229508196721
-122.24,37.81,52,709,456,32727,268500,1.05701754385965,4.44298245614035,1.55482456140351
-122.25,37.81,52,686,422,31691,259400,1.09004739336493,4.16587677725119,1.62559241706161
-122.24,37.82,52,1444,718,39000,275700,1.04596100278552,4.84818941504178,2.01114206128134
-122.25,37.82,28,1520,802,39063,225000,1.06608478802993,4.16084788029925,1.89526184538653
-122.25,37.82,52,550,253,50917,262500,1.14229249011858,5.62845849802372,2.17391304347826
-122.25,37.82,32,1806,1022,26429,218500,1.07436399217221,3.72700587084149,1.76712328767123
-122.25,37.82,26,1749,1217,30233,255000,0.982744453574363,3.25308134757601,1.43714050944947
-122.25,37.83,52,939,519,31484,224100,1.07707129094412,4.57803468208092,1.80924855491329
-122.25,37.83,35,675,422,34722,243100,1.01421800947867,3.82227488151659,1.59952606635071
-122.25,37.83,52,534,291,31429,231600,0.986254295532646,4.39518900343643,1.83505154639175
-122.25,37.83,28,2558,1661,24234,218500,1.05358217940999,3.02347983142685,1.54003612281758
-122.25,37.83,52,1786,1037,30897,234100,1.0655737704918,4.04050144648023,1.72227579556413
-122.23,37.84,50,970,373,58596,327600,1.06970509383378,6.7426273458445,2.60053619302949
-122.23,37.84,47,1098,485,52868,347600,0.936082474226804,6.54639175257732,2.2639175257732
-122.24,37.83,41,794,376,59560,366100,1.07978723404255,6.85106382978723,2.11170212765957
-122.24,37.85,37,98,47,49643,335000,1.14893617021277,7.1063829787234,2.08510638297872
-122.23,37.85,52,1061,403,63434,373600,1.01985111662531,6.94789081885856,2.63275434243176
-122.24,37.84,52,1177,555,51773,389500,1.03423423423423,6.35855855855856,2.12072072072072
-122.24,37.85,52,901,367,72354,391100,0.994550408719346,7.11716621253406,2.4550408719346
-122.22,37.85,28,2031,956,54570,337300,1.09623430962343,5.53033472803347,2.1244769874477
-122.22,37.84,50,1031,479,75000,295200,0.987473903966597,6.12734864300626,2.15240083507307
-122.21,37.84,44,1358,597,60194,292300,1,5.73534338358459,2.27470686767169
-122.21,37.83,40,1616,654,75544,411500,1.03058103975535,7.63149847094801,2.47094801223242
-122.2,37.84,30,844,343,60666,311500,1.00874635568513,6.44606413994169,2.46064139941691
-122.21,37.84,34,1140,496,70548,325900,0.987903225806452,6.125,2.29838709677419
-122.19,37.84,18,533,194,116017,392600,1.08247422680412,8.33505154639175,2.74742268041237
-122.2,37.84,35,1072,443,74882,319300,1.03837471783296,6.46726862302483,2.41986455981941
-122.21,37.83,34,1627,766,68976,333300,1.02872062663185,6.61227154046997,2.12402088772846
-122.19,37.83,28,463,190,82049,335200,0.968421052631579,6.97894736842105,2.43684210526316
-122.2,37.83,26,542,211,84010,351200,1.05687203791469,7.53080568720379,2.56872037914692
-122.19,37.83,29,661,269,68538,368900,1.00743494423792,6.65799256505576,2.45724907063197
-122.19,37.82,32,635,263,83170,365900,1.00380228136882,6.97718631178707,2.41444866920152
-122.2,37.82,37,420,176,70175,366700,1.02840909090909,6.98295454545455,2.38636363636364
-122.2,37.82,39,1265,500,63302,362800,1.068,7.54,2.53
-122.18,37.81,30,126,52,63624,483300,0.730769230769231,5.61538461538461,2.42307692307692
-122.21,37.82,52,813,350,70549,331400,0.951428571428571,6.78571428571429,2.32285714285714
-122.2,37.81,45,1067,426,67851,323500,1.02347417840376,6.95774647887324,2.50469483568075
-122.21,37.8,50,1260,552,28929,216700,1.09601449275362,5.13224637681159,2.28260869565217
-122.21,37.8,38,951,487,30812,233100,1.09856262833676,4.62833675564682,1.95277207392197
-122.21,37.81,52,510,224,52402,296400,0.946428571428571,6.20089285714286,2.27678571428571
-122.22,37.81,52,765,308,65217,273700,1.08766233766234,6.39935064935065,2.48376623376623
-122.22,37.8,52,1129,460,32632,227700,1.01086956521739,4.74565217391304,2.45434782608696
-122.22,37.8,52,1073,441,30298,199600,1.05215419501134,5.18367346938776,2.43310657596372
-122.22,37.8,52,1185,515,45428,239800,1.0504854368932,5.28349514563107,2.30097087378641
-122.22,37.81,52,756,340,40720,270100,0.997058823529412,5.95294117647059,2.22352941176471
-122.22,37.81,52,1034,521,53509,302100,1.02879078694818,5.65067178502879,1.98464491362764
-122.23,37.8,52,787,459,31603,269500,1.05882352941176,4.42919389978213,1.71459694989107
-122.23,37.81,52,612,213,47708,314700,1.07511737089202,6.72769953051643,2.87323943661972
-122.22,37.81,52,1021,380,81564,390100,1.05789473684211,7.70263157894737,2.68684210526316
-122.23,37.81,52,861,258,88793,410300,1.13178294573643,8.97286821705426,3.33720930232558
-122.24,37.81,52,953,327,68591,352400,0.957186544342508,7.59938837920489,2.91437308868502
-122.24,37.81,52,634,256,60302,287300,0.9296875,5.8203125,2.4765625
-122.23,37.81,52,878,352,75080,348700,1.03693181818182,7.99431818181818,2.49431818181818
-122.24,37.81,52,918,483,27477,243800,1.13871635610766,4.33333333333333,1.90062111801242
-122.24,37.8,52,360,175,21944,211500,0.96,5.07428571428571,2.05714285714286
-122.25,37.8,52,1197,488,30149,218400,1.04508196721311,4.2766393442623,2.45286885245902
-122.24,37.81,52,1048,518,36750,269900,0.969111969111969,4.85135135135135,2.02316602316602
-122.25,37.81,46,1373,747,32250,218800,1.11780455153949,4.32663989290495,1.8380187416332
-122.25,37.8,42,1715,1015,29345,225000,1.04926108374384,4.05911330049261,1.68965517241379
-122.25,37.8,43,1359,722,21429,250000,1.09695290858726,3.27423822714681,1.88227146814404
-122.25,37.8,41,1062,413,16121,171400,1.13559322033898,3.56174334140436,2.57142857142857
-122.25,37.8,29,1335,773,13929,193800,1.11772315653299,3.19275549805951,1.72703751617076
-122.24,37.79,27,1171,429,23173,125000,1.14685314685315,3.8041958041958,2.72960372960373
-122.25,37.79,45,1475,460,17772,97500,1.14347826086957,3.88260869565217,3.20652173913043
-122.25,37.79,50,742,196,26458,125000,0.959183673469388,3.20918367346939,3.78571428571429
-122.25,37.79,52,1086,363,21810,138800,1.0771349862259,3.68870523415978,2.99173553719008
-122.25,37.8,36,1645,543,22303,116700,1.11602209944751,3.0902394106814,3.02946593001842
-122.25,37.8,43,1710,644,16504,151800,1.00465838509317,3.63975155279503,2.65527950310559
-122.24,37.8,52,731,228,22697,127000,1,4.36842105263158,3.20614035087719
-122.24,37.8,52,1118,347,21563,128600,1.07492795389049,4.5850144092219,3.22190201729107
-122.24,37.8,52,1006,335,21348,140600,1.18805970149254,4.73432835820896,3.00298507462687
-122.24,37.8,47,1213,554,26292,182700,1.06137184115523,3.69314079422383,2.18953068592058
-122.23,37.8,52,772,257,23833,146900,1.12451361867704,4.63813229571984,3.00389105058366
-122.24,37.8,52,1321,401,29570,122800,1.04738154613466,4.49625935162095,3.29426433915212
-122.24,37.8,49,1487,677,25238,169300,1.10635155096012,4.19202363367799,2.19645494830133
-122.23,37.8,52,488,186,19375,126600,0.989247311827957,4.20967741935484,2.62365591397849
-122.23,37.8,51,949,392,19028,127900,1.05612244897959,4.05612244897959,2.42091836734694
-122.23,37.8,50,1149,415,22500,123500,1.1566265060241,4.20722891566265,2.76867469879518
-122.23,37.8,52,844,280,23929,111900,1.06785714285714,4.47142857142857,3.01428571428571
-122.23,37.79,43,4367,1231,21917,112800,1.09179528838343,4.84402924451665,3.54752233956133
-122.23,37.79,52,1659,412,29357,107900,0.95873786407767,4.32766990291262,4.02669902912621
-122.23,37.79,30,1011,263,18854,137500,1.00380228136882,3.79847908745247,3.84410646387833
-122.24,37.79,39,1464,389,21638,105500,1.10796915167095,3.77634961439589,3.76349614395887
-122.24,37.79,47,1237,303,21250,95500,1.3036303630363,4.52805280528053,4.08250825082508
-122.24,37.79,52,647,168,33750,116100,1.07142857142857,4.01190476190476,3.85119047619048
-122.24,37.79,43,1284,357,22542,112200,1.05322128851541,4.5546218487395,3.59663865546218
-122.25,37.79,51,228,55,21000,75000,0.781818181818182,3.18181818181818,4.14545454545455
-122.25,37.79,39,381,123,16000,112500,1.04878048780488,3.7479674796748,3.09756097560976
-122.25,37.79,52,846,227,36250,125000,1.04405286343612,3.97356828193833,3.72687224669604
-122.26,37.8,20,1659,676,16929,115000,1.15236686390533,3.5103550295858,2.45414201183432
-122.22,37.77,52,520,138,16471,95000,0.927536231884058,2.83333333333333,3.76811594202899
-122.22,37.77,52,866,259,25900,96400,1.16216216216216,4.38996138996139,3.34362934362934
-122.23,37.77,52,612,183,25700,72000,1.12568306010929,4.20218579234973,3.34426229508197
-122.23,37.78,52,415,126,26429,71300,1.15873015873016,3.74603174603175,3.29365079365079
-122.23,37.78,52,994,213,30257,80800,1.0093896713615,4.04694835680751,4.66666666666667
-122.22,37.78,50,1525,477,14886,128800,1.11111111111111,4.0251572327044,3.19706498951782
-122.23,37.78,43,1506,438,19338,112500,1.07762557077626,3.24200913242009,3.43835616438356
-122.23,37.78,52,1008,255,14844,119400,1.01176470588235,3.86666666666667,3.95294117647059
-122.23,37.78,44,2813,751,16009,118100,1.09853528628495,3.11584553928096,3.745672436751
-122.23,37.79,48,1481,343,20375,122500,1.15451895043732,4.94460641399417,4.31778425655977
-122.23,37.79,49,859,219,22930,106300,0.990867579908676,5.36529680365297,3.92237442922374
-122.22,37.79,37,1608,523,21494,132500,1.09751434034417,4.47992351816444,3.07456978967495
-122.23,37.79,30,425,140,16198,122700,1.03571428571429,4.35714285714286,3.03571428571429
-122.23,37.79,40,564,184,13281,113300,1.08152173913043,5.05434782608696,3.06521739130435
-122.22,37.79,44,961,272,35156,109500,1.15441176470588,5.46691176470588,3.53308823529412
-122.22,37.79,52,2273,685,39048,164700,1.00729927007299,4.9985401459854,3.31824817518248
-122.21,37.79,52,600,195,30893,125000,0.974358974358974,3.90769230769231,3.07692307692308
-122.22,37.79,46,1647,527,26042,124700,1.09108159392789,4.48956356736243,3.12523719165085
-122.22,37.79,49,1201,424,25000,136700,1.06132075471698,4.30660377358491,2.83254716981132
-122.22,37.79,38,2167,659,27969,141700,1.07890743550835,4.62670713201821,3.28831562974203
-122.2,37.79,29,939,340,28321,150000,1.10588235294118,4.82352941176471,2.76176470588235
-122.21,37.79,47,859,292,29583,138800,1.0513698630137,5.28424657534247,2.94178082191781
-122.21,37.79,34,1517,516,28365,139200,1.07945736434109,4.58139534883721,2.93992248062015
-122.21,37.79,35,1143,386,28750,143800,1.05958549222798,4.52072538860104,2.96113989637306
-122.21,37.8,39,1109,464,30682,156500,1.07758620689655,4.31681034482759,2.39008620689655
-122.21,37.8,39,1221,446,30757,151000,1.00224215246637,4.52466367713004,2.73766816143498
-122.2,37.8,43,1115,455,49559,273000,1.0967032967033,6.69230769230769,2.45054945054945
-122.2,37.8,52,706,268,47721,217100,1.09328358208955,5.77238805970149,2.63432835820896
-122.21,37.8,52,1883,706,34861,187100,1.0070821529745,4.98441926345609,2.6671388101983
-122.2,37.8,41,804,340,51184,239600,1.04117647058824,6.08823529411765,2.36470588235294
-122.21,37.8,48,506,252,40977,229700,1.04365079365079,5.24206349206349,2.00793650793651
-122.19,37.8,48,610,238,47440,257300,1.08823529411765,7.11764705882353,2.56302521008403
-122.19,37.8,46,768,332,42727,246900,1.02710843373494,5.83734939759036,2.31325301204819
-122.19,37.79,50,462,184,29844,179900,1.05978260869565,5.26086956521739,2.51086956521739
-122.2,37.79,40,667,235,41739,169600,1.08936170212766,4.51063829787234,2.83829787234043
-122.2,37.8,46,1059,399,38487,203300,1.01503759398496,5.11528822055138,2.65413533834586
-122.19,37.8,52,637,277,40114,263400,0.978339350180505,6.54512635379061,2.29963898916967
-122.19,37.79,45,1106,454,46563,231800,0.993392070484581,5.98678414096916,2.43612334801762
-122.19,37.79,28,1737,669,29297,140500,1.13751868460389,4.69955156950673,2.59641255605381
-122.2,37.79,35,1009,390,23036,126000,1.17692307692308,4.62051282051282,2.58717948717949
-122.2,37.79,49,737,210,26667,122000,0.928571428571429,4.2,3.50952380952381
-122.2,37.79,44,1354,491,26190,134700,0.920570264765784,3.30142566191446,2.75763747454175
-122.21,37.79,45,1530,474,24167,139400,1.12447257383966,4.4620253164557,3.22784810126582
-122.2,37.79,45,1410,480,27788,115400,1.1,4.21041666666667,2.9375
-122.21,37.78,46,1390,569,27352,137300,0.892794376098418,3.93497363796134,2.44288224956063
-122.21,37.78,52,1065,269,18472,137000,1.11524163568773,5.4907063197026,3.95910780669145
-122.21,37.78,52,792,245,26583,142600,0.914285714285714,4.31020408163265,3.23265306122449
-122.21,37.78,49,779,245,30536,137500,0.995918367346939,3.66530612244898,3.17959183673469
-122.22,37.78,44,2269,610,23906,111700,1.16393442622951,4.8655737704918,3.71967213114754
-122.21,37.78,43,1227,407,17188,126800,1.13022113022113,4.18181818181818,3.01474201474201
-122.21,37.78,47,753,241,26250,111300,1.02904564315353,3.65560165975104,3.12448132780083
-122.22,37.77,40,547,135,28015,114800,0.844444444444444,3.65925925925926,4.05185185185185
-122.22,37.78,50,1807,440,17276,102300,1.075,4.03636363636364,4.10681818181818
-122.22,37.78,44,1700,495,20801,131900,1.03838383838384,3.38989898989899,3.43434343434343
-122.22,37.78,51,1543,393,24890,119100,1.17811704834606,4.16539440203562,3.92620865139949
-122.21,37.76,52,1085,300,17546,80600,1.04666666666667,4.73333333333333,3.61666666666667
-122.21,37.77,52,353,137,40904,80600,1.26277372262774,4.31386861313869,2.57664233576642
-122.21,37.77,52,473,149,26765,88800,1.02684563758389,5,3.1744966442953
-122.2,37.77,49,1621,483,24338,102400,1.03105590062112,4.70393374741201,3.35610766045549
-122.21,37.77,46,1183,354,23309,98700,1.05932203389831,3.48587570621469,3.34180790960452
-122.21,37.77,43,836,277,22604,1e+05,1.1841155234657,3.67148014440433,3.01805054151625
-122.19,37.77,42,900,263,18039,92300,0.965779467680608,3.54372623574144,3.42205323193916
-122.2,37.77,39,1888,537,22562,94800,1.11173184357542,5.00744878957169,3.51582867783985
-122.2,37.77,41,1024,341,20562,102000,1.21700879765396,4.5366568914956,3.00293255131965
-122.2,37.78,52,1225,423,35398,158400,1.04728132387707,5.43735224586288,2.89598108747045
-122.2,37.78,39,1071,376,31167,121600,1.06117021276596,4.65957446808511,2.84840425531915
-122.2,37.78,50,1128,378,25401,129100,1.06613756613757,4.93915343915344,2.98412698412698
-122.2,37.77,43,1537,484,28980,121400,1.03719008264463,5.02066115702479,3.17561983471074
-122.21,37.78,44,1240,393,23125,102800,1.05343511450382,4.39949109414758,3.15521628498728
-122.19,37.78,52,469,168,28750,160000,1.07142857142857,6.10714285714286,2.79166666666667
-122.19,37.77,52,1086,425,33715,143900,1.00705882352941,5.10588235294118,2.55529411764706
-122.19,37.77,52,1144,417,35114,151200,1.06714628297362,5.58513189448441,2.74340527577938
-122.19,37.78,52,1109,375,43125,164400,1.10666666666667,6.64533333333333,2.95733333333333
-122.19,37.78,52,984,369,32200,156500,1.07588075880759,5.95663956639566,2.66666666666667
-122.18,37.78,33,575,47,38750,225000,0.659574468085106,3.02127659574468,12.2340425531915
-122.19,37.78,49,496,209,52328,174200,0.980861244019139,5.66028708133971,2.37320574162679
-122.19,37.78,52,555,190,37262,166900,1.01578947368421,5.63157894736842,2.92105263157895
-122.2,37.78,45,869,327,45893,163500,1.01529051987768,5.40061162079511,2.65749235474006
-122.18,37.79,39,236,106,52578,253000,0.89622641509434,5.82075471698113,2.22641509433962
-122.18,37.79,41,626,214,70875,240700,1.08878504672897,6.59345794392523,2.92523364485981
-122.18,37.79,46,922,329,39712,208100,1.17629179331307,6.41033434650456,2.80243161094225
-122.19,37.79,47,582,256,29514,198100,0.94921875,4.80078125,2.2734375
-122.19,37.79,50,546,201,26667,172800,1.07960199004975,4.74626865671642,2.71641791044776
-122.18,37.81,37,620,266,54446,336700,0.984962406015038,6.17669172932331,2.33082706766917
-122.18,37.8,34,442,195,62838,318200,1,6.94871794871795,2.26666666666667
-122.18,37.8,23,955,328,67527,285800,1.02439024390244,7.0640243902439,2.91158536585366
-122.13,37.77,24,916,324,70712,293000,0.978395061728395,7.58950617283951,2.82716049382716
-122.16,37.79,22,4985,1967,59849,371000,1.04117946110829,6.52872394509405,2.53431621759024
-122.17,37.78,42,651,267,36875,157300,0.973782771535581,5.70786516853933,2.43820224719101
-122.17,37.77,30,1704,703,28750,135300,1.06116642958748,4.73115220483642,2.42389758179232
-122.18,37.78,43,1085,407,34205,136700,1.08108108108108,4.87714987714988,2.66584766584767
-122.18,37.78,50,713,284,32984,160700,1.13380281690141,5.78169014084507,2.51056338028169
-122.17,37.78,49,468,181,38750,140600,0.977900552486188,4.93370165745856,2.58563535911602
-122.17,37.78,52,296,121,41750,144000,1.05785123966942,5.39669421487603,2.44628099173554
-122.16,37.77,47,570,218,43750,161900,0.995412844036697,5.76146788990826,2.61467889908257
-122.16,37.77,48,446,180,47708,156300,1.07777777777778,5.42777777777778,2.47777777777778
-122.16,37.77,45,968,384,35739,176000,1.03385416666667,6.05208333333333,2.52083333333333
-122.16,37.77,39,857,316,30958,145800,1.10443037974684,5.00949367088608,2.7120253164557
-122.17,37.77,39,912,322,33958,141900,1.06211180124224,5.00621118012422,2.83229813664596
-122.17,37.77,31,1360,452,18710,90700,1.17920353982301,5.36283185840708,3.00884955752212
-122.17,37.76,41,1074,355,19356,90600,1.03380281690141,4.49014084507042,3.02535211267606
-122.17,37.76,47,965,382,21842,107900,1.08115183246073,5.54450261780105,2.5261780104712
-122.18,37.76,37,933,320,22917,107000,1.11875,4.921875,2.915625
-122.17,37.76,38,987,354,24333,98200,1.12146892655367,4.98305084745763,2.78813559322034
-122.18,37.76,50,907,246,19479,89500,1.0609756097561,4.82520325203252,3.6869918699187
-122.18,37.76,52,447,165,39063,93800,1.06060606060606,4.56969696969697,2.70909090909091
-122.18,37.76,49,1299,451,18407,96700,1.00221729490022,5.11751662971175,2.88026607538803
-122.18,37.77,27,396,157,20786,97500,1.5031847133758,5.78980891719745,2.52229299363057
-122.18,37.77,42,877,268,28125,97300,0.958955223880597,4.40298507462687,3.27238805970149
-122.18,37.76,43,1111,367,18913,91200,1.11171662125341,5.49863760217984,3.02724795640327
-122.19,37.76,49,790,269,17056,91400,1.04832713754647,5.08550185873606,2.9368029739777
-122.18,37.77,52,1479,554,22768,96200,0.987364620938628,4.95306859205776,2.66967509025271
